"Statistic","Year","County and Region","UNIT","VALUE"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Midland","Euro Million","338"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Laois","Euro Million","95"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Longford","Euro Million","42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Offaly","Euro Million","91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2013","Westmeath","Euro Million","110"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","State","Euro Million","7874"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Northern and Western","Euro Million","1176"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Border","Euro Million","485"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Leitrim","Euro Million","39"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Sligo","Euro Million","94"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Cavan","Euro Million","89"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Donegal","Euro Million","191"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Monaghan","Euro Million","73"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","West","Euro Million","690"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Galway","Euro Million","423"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Mayo","Euro Million","182"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Roscommon","Euro Million","84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Southern","Euro Million","2356"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Mid-West","Euro Million","687"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Clare","Euro Million","166"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Limerick","Euro Million","295"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Tipperary","Euro Million","226"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","South-East","Euro Million","588"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Carlow","Euro Million","82"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Kilkenny","Euro Million","136"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Wexford","Euro Million","205"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Waterford","Euro Million","164"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","South-West","Euro Million","1082"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Cork","Euro Million","877"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Kerry","Euro Million","205"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Eastern and Midland","Euro Million","4342"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Dublin","Euro Million","2898"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Mid-East","Euro Million","1081"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Kildare","Euro Million","364"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Louth","Euro Million","181"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Meath","Euro Million","286"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Wicklow","Euro Million","250"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Midland","Euro Million","363"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Laois","Euro Million","102"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Longford","Euro Million","45"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Offaly","Euro Million","97"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2014","Westmeath","Euro Million","118"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","State","Euro Million","8911"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Northern and Western","Euro Million","1332"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Border","Euro Million","550"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Leitrim","Euro Million","45"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Sligo","Euro Million","106"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Cavan","Euro Million","101"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Donegal","Euro Million","216"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Monaghan","Euro Million","83"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","West","Euro Million","781"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Galway","Euro Million","479"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Mayo","Euro Million","207"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Roscommon","Euro Million","96"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Southern","Euro Million","2667"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Mid-West","Euro Million","776"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Clare","Euro Million","188"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Limerick","Euro Million","333"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Tipperary","Euro Million","255"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","South-East","Euro Million","666"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Carlow","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Kilkenny","Euro Million","153"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Wexford","Euro Million","232"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Waterford","Euro Million","186"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","South-West","Euro Million","1225"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Cork","Euro Million","993"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Kerry","Euro Million","232"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Eastern and Midland","Euro Million","4913"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Dublin","Euro Million","3277"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Mid-East","Euro Million","1226"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Kildare","Euro Million","413"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Louth","Euro Million","205"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Meath","Euro Million","323"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Wicklow","Euro Million","284"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Midland","Euro Million","411"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Laois","Euro Million","115"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Longford","Euro Million","52"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Offaly","Euro Million","110"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2015","Westmeath","Euro Million","134"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","State","Euro Million","9579"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Northern and Western","Euro Million","1272"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Border","Euro Million","511"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Leitrim","Euro Million","42"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Sligo","Euro Million","100"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Cavan","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Donegal","Euro Million","197"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Monaghan","Euro Million","80"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","West","Euro Million","760"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Galway","Euro Million","488"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Mayo","Euro Million","186"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Roscommon","Euro Million","86"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Southern","Euro Million","2674"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Mid-West","Euro Million","743"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Clare","Euro Million","178"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Limerick","Euro Million","330"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Tipperary","Euro Million","235"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","South-East","Euro Million","627"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Carlow","Euro Million","88"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Kilkenny","Euro Million","152"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Wexford","Euro Million","215"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Waterford","Euro Million","173"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","South-West","Euro Million","1303"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Cork","Euro Million","1084"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Kerry","Euro Million","219"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Eastern and Midland","Euro Million","5633"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Dublin","Euro Million","3907"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Mid-East","Euro Million","1325"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Kildare","Euro Million","461"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Louth","Euro Million","213"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Meath","Euro Million","354"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Wicklow","Euro Million","297"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Midland","Euro Million","402"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Laois","Euro Million","117"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Longford","Euro Million","47"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Offaly","Euro Million","107"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2016","Westmeath","Euro Million","131"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","State","Euro Million","10142"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Northern and Western","Euro Million","1344"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Border","Euro Million","540"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Leitrim","Euro Million","45"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Sligo","Euro Million","105"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Cavan","Euro Million","98"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Donegal","Euro Million","208"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Monaghan","Euro Million","84"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","West","Euro Million","804"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Galway","Euro Million","516"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Mayo","Euro Million","196"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Roscommon","Euro Million","91"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Southern","Euro Million","2824"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Mid-West","Euro Million","785"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Clare","Euro Million","188"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Limerick","Euro Million","349"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Tipperary","Euro Million","248"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","South-East","Euro Million","663"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Carlow","Euro Million","93"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Kilkenny","Euro Million","160"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Wexford","Euro Million","227"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Waterford","Euro Million","182"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","South-West","Euro Million","1377"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Cork","Euro Million","1146"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Kerry","Euro Million","231"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Eastern and Midland","Euro Million","5974"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Dublin","Euro Million","4142"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Mid-East","Euro Million","1407"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Kildare","Euro Million","490"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Louth","Euro Million","225"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Meath","Euro Million","379"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Wicklow","Euro Million","314"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Midland","Euro Million","424"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Laois","Euro Million","123"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Longford","Euro Million","50"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Offaly","Euro Million","112"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2017","Westmeath","Euro Million","138"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","State","Euro Million","12376"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Northern and Western","Euro Million","1637"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Border","Euro Million","658"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Leitrim","Euro Million","54"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Sligo","Euro Million","128"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Cavan","Euro Million","120"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Donegal","Euro Million","253"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Monaghan","Euro Million","103"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","West","Euro Million","979"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Galway","Euro Million","629"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Mayo","Euro Million","239"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Roscommon","Euro Million","111"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Southern","Euro Million","3437"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Mid-West","Euro Million","953"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Clare","Euro Million","229"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Limerick","Euro Million","425"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Tipperary","Euro Million","299"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","South-East","Euro Million","806"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Carlow","Euro Million","112"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Kilkenny","Euro Million","195"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Wexford","Euro Million","277"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Waterford","Euro Million","222"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","South-West","Euro Million","1678"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Cork","Euro Million","1397"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Kerry","Euro Million","281"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Eastern and Midland","Euro Million","7302"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Dublin","Euro Million","5063"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Mid-East","Euro Million","1724"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Kildare","Euro Million","600"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Louth","Euro Million","274"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Meath","Euro Million","466"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Wicklow","Euro Million","383"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Midland","Euro Million","515"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Laois","Euro Million","149"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Longford","Euro Million","61"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Offaly","Euro Million","137"
"Rent of dwellings (including imputed rent of owner-occupied dwellings)","2018","Westmeath","Euro Million","168"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","State","Euro Million","2038"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Northern and Western","Euro Million","297"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Border","Euro Million","132"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Leitrim","Euro Million","11"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Sligo","Euro Million","25"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Cavan","Euro Million","24"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Donegal","Euro Million","49"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Monaghan","Euro Million","23"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","West","Euro Million","166"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Galway","Euro Million","93"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Mayo","Euro Million","50"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Roscommon","Euro Million","23"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Southern","Euro Million","631"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Mid-West","Euro Million","201"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Clare","Euro Million","50"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Limerick","Euro Million","89"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Tipperary","Euro Million","62"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","South-East","Euro Million","155"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Carlow","Euro Million","20"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Kilkenny","Euro Million","35"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Wexford","Euro Million","48"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Waterford","Euro Million","51"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","South-West","Euro Million","275"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Cork","Euro Million","221"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Kerry","Euro Million","54"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Eastern and Midland","Euro Million","1110"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Dublin","Euro Million","729"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Mid-East","Euro Million","279"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Kildare","Euro Million","96"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Louth","Euro Million","51"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Meath","Euro Million","70"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Wicklow","Euro Million","62"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Midland","Euro Million","102"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Laois","Euro Million","26"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Longford","Euro Million","13"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Offaly","Euro Million","28"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2000","Westmeath","Euro Million","34"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","State","Euro Million","2179"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Northern and Western","Euro Million","312"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Border","Euro Million","137"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Leitrim","Euro Million","11"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Sligo","Euro Million","27"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Cavan","Euro Million","25"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Donegal","Euro Million","51"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Monaghan","Euro Million","24"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","West","Euro Million","175"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Galway","Euro Million","99"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Mayo","Euro Million","52"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Roscommon","Euro Million","24"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Southern","Euro Million","674"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Mid-West","Euro Million","218"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Clare","Euro Million","52"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Limerick","Euro Million","97"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Tipperary","Euro Million","68"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","South-East","Euro Million","163"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Carlow","Euro Million","21"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Kilkenny","Euro Million","37"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Wexford","Euro Million","52"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Waterford","Euro Million","53"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","South-West","Euro Million","293"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Cork","Euro Million","235"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Kerry","Euro Million","58"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Eastern and Midland","Euro Million","1193"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Dublin","Euro Million","782"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Mid-East","Euro Million","302"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Kildare","Euro Million","104"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Louth","Euro Million","55"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Meath","Euro Million","77"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Wicklow","Euro Million","67"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Midland","Euro Million","108"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Laois","Euro Million","27"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Longford","Euro Million","14"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Offaly","Euro Million","30"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2001","Westmeath","Euro Million","37"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","State","Euro Million","1940"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Northern and Western","Euro Million","282"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Border","Euro Million","124"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Leitrim","Euro Million","10"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Sligo","Euro Million","25"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Cavan","Euro Million","23"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Donegal","Euro Million","45"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Monaghan","Euro Million","21"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","West","Euro Million","159"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Galway","Euro Million","90"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Mayo","Euro Million","46"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Roscommon","Euro Million","22"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Southern","Euro Million","605"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Mid-West","Euro Million","189"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Clare","Euro Million","47"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Limerick","Euro Million","81"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Tipperary","Euro Million","61"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","South-East","Euro Million","148"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Carlow","Euro Million","18"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Kilkenny","Euro Million","33"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Wexford","Euro Million","47"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Waterford","Euro Million","49"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","South-West","Euro Million","268"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Cork","Euro Million","216"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Kerry","Euro Million","51"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Eastern and Midland","Euro Million","1053"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Dublin","Euro Million","680"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Mid-East","Euro Million","274"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Kildare","Euro Million","94"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Louth","Euro Million","50"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Meath","Euro Million","69"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Wicklow","Euro Million","61"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Midland","Euro Million","99"
"Net Interest and Dividends (payments by households of interest are deducted from interest received by households)","2002","Laois","Euro Million","26"
