"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Planning Permissions Granted","1975","One off houses","Tipperary","Number",""
"Planning Permissions Granted","1975","One off houses","South-East","Number",""
"Planning Permissions Granted","1975","One off houses","Carlow","Number",""
"Planning Permissions Granted","1975","One off houses","Kilkenny","Number",""
"Planning Permissions Granted","1975","One off houses","Wexford","Number",""
"Planning Permissions Granted","1975","One off houses","Waterford","Number",""
"Planning Permissions Granted","1975","One off houses","South-West","Number",""
"Planning Permissions Granted","1975","One off houses","Cork","Number",""
"Planning Permissions Granted","1975","One off houses","Cork City","Number",""
"Planning Permissions Granted","1975","One off houses","Kerry","Number",""
"Planning Permissions Granted","1975","One off houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1975","One off houses","Dublin","Number",""
"Planning Permissions Granted","1975","One off houses","Dublin City","Number",""
"Planning Permissions Granted","1975","One off houses","South Dublin","Number",""
"Planning Permissions Granted","1975","One off houses","Fingal","Number",""
"Planning Permissions Granted","1975","One off houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1975","One off houses","Mid-East","Number",""
"Planning Permissions Granted","1975","One off houses","Kildare","Number",""
"Planning Permissions Granted","1975","One off houses","Louth","Number",""
"Planning Permissions Granted","1975","One off houses","Meath","Number",""
"Planning Permissions Granted","1975","One off houses","Wicklow","Number",""
"Planning Permissions Granted","1975","One off houses","Midland","Number",""
"Planning Permissions Granted","1975","One off houses","Laois","Number",""
"Planning Permissions Granted","1975","One off houses","Longford","Number",""
"Planning Permissions Granted","1975","One off houses","Offaly","Number",""
"Planning Permissions Granted","1975","One off houses","Westmeath","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","State","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Northern and Western","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Border","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Leitrim","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Sligo","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Cavan","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Donegal","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Monaghan","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","West","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Galway","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Galway City","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Mayo","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Roscommon","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Southern","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Mid-West","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Clare","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Limerick","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Tipperary","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","South-East","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Carlow","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Kilkenny","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Wexford","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Waterford","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","South-West","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Cork","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Cork City","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Kerry","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Eastern and Midland","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Dublin","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Dublin City","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","South Dublin","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Fingal","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Mid-East","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Kildare","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Louth","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Meath","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Wicklow","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Midland","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Laois","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Longford","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Offaly","Number",""
"Planning Permissions Granted","1975","Private flats/apartments","Westmeath","Number",""
"Planning Permissions Granted","1976","Houses","State","Number",""
"Planning Permissions Granted","1976","Houses","Northern and Western","Number",""
"Planning Permissions Granted","1976","Houses","Border","Number",""
"Planning Permissions Granted","1976","Houses","Leitrim","Number",""
"Planning Permissions Granted","1976","Houses","Sligo","Number",""
"Planning Permissions Granted","1976","Houses","Cavan","Number",""
"Planning Permissions Granted","1976","Houses","Donegal","Number",""
"Planning Permissions Granted","1976","Houses","Monaghan","Number",""
"Planning Permissions Granted","1976","Houses","West","Number",""
"Planning Permissions Granted","1976","Houses","Galway","Number",""
"Planning Permissions Granted","1976","Houses","Galway City","Number",""
"Planning Permissions Granted","1976","Houses","Mayo","Number",""
"Planning Permissions Granted","1976","Houses","Roscommon","Number",""
"Planning Permissions Granted","1976","Houses","Southern","Number",""
"Planning Permissions Granted","1976","Houses","Mid-West","Number",""
"Planning Permissions Granted","1976","Houses","Clare","Number",""
"Planning Permissions Granted","1976","Houses","Limerick","Number",""
"Planning Permissions Granted","1976","Houses","Tipperary","Number",""
"Planning Permissions Granted","1976","Houses","South-East","Number",""
"Planning Permissions Granted","1976","Houses","Carlow","Number",""
"Planning Permissions Granted","1976","Houses","Kilkenny","Number",""
"Planning Permissions Granted","1976","Houses","Wexford","Number",""
"Planning Permissions Granted","1976","Houses","Waterford","Number",""
"Planning Permissions Granted","1976","Houses","South-West","Number",""
"Planning Permissions Granted","1976","Houses","Cork","Number",""
"Planning Permissions Granted","1976","Houses","Cork City","Number",""
"Planning Permissions Granted","1976","Houses","Kerry","Number",""
"Planning Permissions Granted","1976","Houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1976","Houses","Dublin","Number",""
"Planning Permissions Granted","1976","Houses","Dublin City","Number",""
"Planning Permissions Granted","1976","Houses","South Dublin","Number",""
"Planning Permissions Granted","1976","Houses","Fingal","Number",""
"Planning Permissions Granted","1976","Houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1976","Houses","Mid-East","Number",""
"Planning Permissions Granted","1976","Houses","Kildare","Number",""
"Planning Permissions Granted","1976","Houses","Louth","Number",""
"Planning Permissions Granted","1976","Houses","Meath","Number",""
"Planning Permissions Granted","1976","Houses","Wicklow","Number",""
"Planning Permissions Granted","1976","Houses","Midland","Number",""
"Planning Permissions Granted","1976","Houses","Laois","Number",""
"Planning Permissions Granted","1976","Houses","Longford","Number",""
"Planning Permissions Granted","1976","Houses","Offaly","Number",""
"Planning Permissions Granted","1976","Houses","Westmeath","Number",""
"Planning Permissions Granted","1976","Multi development houses","State","Number",""
"Planning Permissions Granted","1976","Multi development houses","Northern and Western","Number",""
"Planning Permissions Granted","1976","Multi development houses","Border","Number",""
"Planning Permissions Granted","1976","Multi development houses","Leitrim","Number",""
"Planning Permissions Granted","1976","Multi development houses","Sligo","Number",""
"Planning Permissions Granted","1976","Multi development houses","Cavan","Number",""
"Planning Permissions Granted","1976","Multi development houses","Donegal","Number",""
"Planning Permissions Granted","1976","Multi development houses","Monaghan","Number",""
"Planning Permissions Granted","1976","Multi development houses","West","Number",""
"Planning Permissions Granted","1976","Multi development houses","Galway","Number",""
"Planning Permissions Granted","1976","Multi development houses","Galway City","Number",""
"Planning Permissions Granted","1976","Multi development houses","Mayo","Number",""
"Planning Permissions Granted","1976","Multi development houses","Roscommon","Number",""
"Planning Permissions Granted","1976","Multi development houses","Southern","Number",""
"Planning Permissions Granted","1976","Multi development houses","Mid-West","Number",""
"Planning Permissions Granted","1976","Multi development houses","Clare","Number",""
"Planning Permissions Granted","1976","Multi development houses","Limerick","Number",""
"Planning Permissions Granted","1976","Multi development houses","Tipperary","Number",""
"Planning Permissions Granted","1976","Multi development houses","South-East","Number",""
"Planning Permissions Granted","1976","Multi development houses","Carlow","Number",""
"Planning Permissions Granted","1976","Multi development houses","Kilkenny","Number",""
"Planning Permissions Granted","1976","Multi development houses","Wexford","Number",""
"Planning Permissions Granted","1976","Multi development houses","Waterford","Number",""
"Planning Permissions Granted","1976","Multi development houses","South-West","Number",""
"Planning Permissions Granted","1976","Multi development houses","Cork","Number",""
"Planning Permissions Granted","1976","Multi development houses","Cork City","Number",""
"Planning Permissions Granted","1976","Multi development houses","Kerry","Number",""
"Planning Permissions Granted","1976","Multi development houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1976","Multi development houses","Dublin","Number",""
"Planning Permissions Granted","1976","Multi development houses","Dublin City","Number",""
"Planning Permissions Granted","1976","Multi development houses","South Dublin","Number",""
"Planning Permissions Granted","1976","Multi development houses","Fingal","Number",""
"Planning Permissions Granted","1976","Multi development houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1976","Multi development houses","Mid-East","Number",""
"Planning Permissions Granted","1976","Multi development houses","Kildare","Number",""
"Planning Permissions Granted","1976","Multi development houses","Louth","Number",""
"Planning Permissions Granted","1976","Multi development houses","Meath","Number",""
"Planning Permissions Granted","1976","Multi development houses","Wicklow","Number",""
"Planning Permissions Granted","1976","Multi development houses","Midland","Number",""
"Planning Permissions Granted","1976","Multi development houses","Laois","Number",""
"Planning Permissions Granted","1976","Multi development houses","Longford","Number",""
"Planning Permissions Granted","1976","Multi development houses","Offaly","Number",""
"Planning Permissions Granted","1976","Multi development houses","Westmeath","Number",""
"Planning Permissions Granted","1976","One off houses","State","Number",""
"Planning Permissions Granted","1976","One off houses","Northern and Western","Number",""
"Planning Permissions Granted","1976","One off houses","Border","Number",""
"Planning Permissions Granted","1976","One off houses","Leitrim","Number",""
"Planning Permissions Granted","1976","One off houses","Sligo","Number",""
"Planning Permissions Granted","1976","One off houses","Cavan","Number",""
"Planning Permissions Granted","1976","One off houses","Donegal","Number",""
"Planning Permissions Granted","1976","One off houses","Monaghan","Number",""
"Planning Permissions Granted","1976","One off houses","West","Number",""
