"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Planning Permissions Granted","1976","One off houses","Galway","Number",""
"Planning Permissions Granted","1976","One off houses","Galway City","Number",""
"Planning Permissions Granted","1976","One off houses","Mayo","Number",""
"Planning Permissions Granted","1976","One off houses","Roscommon","Number",""
"Planning Permissions Granted","1976","One off houses","Southern","Number",""
"Planning Permissions Granted","1976","One off houses","Mid-West","Number",""
"Planning Permissions Granted","1976","One off houses","Clare","Number",""
"Planning Permissions Granted","1976","One off houses","Limerick","Number",""
"Planning Permissions Granted","1976","One off houses","Tipperary","Number",""
"Planning Permissions Granted","1976","One off houses","South-East","Number",""
"Planning Permissions Granted","1976","One off houses","Carlow","Number",""
"Planning Permissions Granted","1976","One off houses","Kilkenny","Number",""
"Planning Permissions Granted","1976","One off houses","Wexford","Number",""
"Planning Permissions Granted","1976","One off houses","Waterford","Number",""
"Planning Permissions Granted","1976","One off houses","South-West","Number",""
"Planning Permissions Granted","1976","One off houses","Cork","Number",""
"Planning Permissions Granted","1976","One off houses","Cork City","Number",""
"Planning Permissions Granted","1976","One off houses","Kerry","Number",""
"Planning Permissions Granted","1976","One off houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1976","One off houses","Dublin","Number",""
"Planning Permissions Granted","1976","One off houses","Dublin City","Number",""
"Planning Permissions Granted","1976","One off houses","South Dublin","Number",""
"Planning Permissions Granted","1976","One off houses","Fingal","Number",""
"Planning Permissions Granted","1976","One off houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1976","One off houses","Mid-East","Number",""
"Planning Permissions Granted","1976","One off houses","Kildare","Number",""
"Planning Permissions Granted","1976","One off houses","Louth","Number",""
"Planning Permissions Granted","1976","One off houses","Meath","Number",""
"Planning Permissions Granted","1976","One off houses","Wicklow","Number",""
"Planning Permissions Granted","1976","One off houses","Midland","Number",""
"Planning Permissions Granted","1976","One off houses","Laois","Number",""
"Planning Permissions Granted","1976","One off houses","Longford","Number",""
"Planning Permissions Granted","1976","One off houses","Offaly","Number",""
"Planning Permissions Granted","1976","One off houses","Westmeath","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","State","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Northern and Western","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Border","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Leitrim","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Sligo","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Cavan","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Donegal","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Monaghan","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","West","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Galway","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Galway City","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Mayo","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Roscommon","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Southern","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Mid-West","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Clare","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Limerick","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Tipperary","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","South-East","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Carlow","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Kilkenny","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Wexford","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Waterford","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","South-West","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Cork","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Cork City","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Kerry","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Eastern and Midland","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Dublin","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Dublin City","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","South Dublin","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Fingal","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Mid-East","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Kildare","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Louth","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Meath","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Wicklow","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Midland","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Laois","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Longford","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Offaly","Number",""
"Planning Permissions Granted","1976","Private flats/apartments","Westmeath","Number",""
"Planning Permissions Granted","1977","Houses","State","Number","12390"
"Planning Permissions Granted","1977","Houses","Northern and Western","Number",""
"Planning Permissions Granted","1977","Houses","Border","Number",""
"Planning Permissions Granted","1977","Houses","Leitrim","Number",""
"Planning Permissions Granted","1977","Houses","Sligo","Number",""
"Planning Permissions Granted","1977","Houses","Cavan","Number",""
"Planning Permissions Granted","1977","Houses","Donegal","Number",""
"Planning Permissions Granted","1977","Houses","Monaghan","Number",""
"Planning Permissions Granted","1977","Houses","West","Number",""
"Planning Permissions Granted","1977","Houses","Galway","Number",""
"Planning Permissions Granted","1977","Houses","Galway City","Number",""
"Planning Permissions Granted","1977","Houses","Mayo","Number",""
"Planning Permissions Granted","1977","Houses","Roscommon","Number",""
"Planning Permissions Granted","1977","Houses","Southern","Number",""
"Planning Permissions Granted","1977","Houses","Mid-West","Number",""
"Planning Permissions Granted","1977","Houses","Clare","Number",""
"Planning Permissions Granted","1977","Houses","Limerick","Number",""
"Planning Permissions Granted","1977","Houses","Tipperary","Number",""
"Planning Permissions Granted","1977","Houses","South-East","Number",""
"Planning Permissions Granted","1977","Houses","Carlow","Number",""
"Planning Permissions Granted","1977","Houses","Kilkenny","Number",""
"Planning Permissions Granted","1977","Houses","Wexford","Number",""
"Planning Permissions Granted","1977","Houses","Waterford","Number",""
"Planning Permissions Granted","1977","Houses","South-West","Number",""
"Planning Permissions Granted","1977","Houses","Cork","Number",""
"Planning Permissions Granted","1977","Houses","Cork City","Number",""
"Planning Permissions Granted","1977","Houses","Kerry","Number",""
"Planning Permissions Granted","1977","Houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1977","Houses","Dublin","Number",""
"Planning Permissions Granted","1977","Houses","Dublin City","Number",""
"Planning Permissions Granted","1977","Houses","South Dublin","Number",""
"Planning Permissions Granted","1977","Houses","Fingal","Number",""
"Planning Permissions Granted","1977","Houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1977","Houses","Mid-East","Number",""
"Planning Permissions Granted","1977","Houses","Kildare","Number",""
"Planning Permissions Granted","1977","Houses","Louth","Number",""
"Planning Permissions Granted","1977","Houses","Meath","Number",""
"Planning Permissions Granted","1977","Houses","Wicklow","Number",""
"Planning Permissions Granted","1977","Houses","Midland","Number",""
"Planning Permissions Granted","1977","Houses","Laois","Number",""
"Planning Permissions Granted","1977","Houses","Longford","Number",""
"Planning Permissions Granted","1977","Houses","Offaly","Number",""
"Planning Permissions Granted","1977","Houses","Westmeath","Number",""
"Planning Permissions Granted","1977","Multi development houses","State","Number",""
