"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2016","Male","Aggregate Town Area","Galway County","Number","19261"
"Population","2016","Male","Aggregate Town Area","Leitrim","Number","1658"
"Population","2016","Male","Aggregate Town Area","Mayo","Number","17994"
"Population","2016","Male","Aggregate Town Area","Roscommon","Number","8445"
"Population","2016","Male","Aggregate Town Area","Sligo","Number","12543"
"Population","2016","Male","Aggregate Town Area","Cavan","Number","11364"
"Population","2016","Male","Aggregate Town Area","Donegal","Number","20994"
"Population","2016","Male","Aggregate Town Area","Monaghan","Number","8740"
"Population","2016","Male","Aggregate Rural Area","State","Number","895701"
"Population","2016","Male","Aggregate Rural Area","Carlow","Number","14586"
"Population","2016","Male","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1228"
"Population","2016","Male","Aggregate Rural Area","Fingal","Number","10847"
"Population","2016","Male","Aggregate Rural Area","South Dublin","Number","2874"
"Population","2016","Male","Aggregate Rural Area","Kildare","Number","36511"
"Population","2016","Male","Aggregate Rural Area","Kilkenny","Number","30822"
"Population","2016","Male","Aggregate Rural Area","Laois","Number","22218"
"Population","2016","Male","Aggregate Rural Area","Longford","Number","13662"
"Population","2016","Male","Aggregate Rural Area","Louth","Number","21866"
"Population","2016","Male","Aggregate Rural Area","Meath","Number","40732"
"Population","2016","Male","Aggregate Rural Area","Offaly","Number","22488"
"Population","2016","Male","Aggregate Rural Area","Westmeath","Number","22686"
"Population","2016","Male","Aggregate Rural Area","Wexford","Number","45776"
"Population","2016","Male","Aggregate Rural Area","Wicklow","Number","25163"
"Population","2016","Male","Aggregate Rural Area","Clare","Number","36169"
"Population","2016","Male","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Cork County","Number","101880"
"Population","2016","Male","Aggregate Rural Area","Kerry","Number","48116"
"Population","2016","Male","Aggregate Rural Area","Limerick City and County","Number","45462"
"Population","2016","Male","Aggregate Rural Area","Tipperary","Number","47283"
"Population","2016","Male","Aggregate Rural Area","Waterford City and County","Number","22397"
"Population","2016","Male","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Male","Aggregate Rural Area","Galway County","Number","70602"
"Population","2016","Male","Aggregate Rural Area","Leitrim","Number","14406"
"Population","2016","Male","Aggregate Rural Area","Mayo","Number","47053"
"Population","2016","Male","Aggregate Rural Area","Roscommon","Number","23932"
"Population","2016","Male","Aggregate Rural Area","Sligo","Number","19822"
"Population","2016","Male","Aggregate Rural Area","Cavan","Number","26966"
"Population","2016","Male","Aggregate Rural Area","Donegal","Number","58028"
"Population","2016","Male","Aggregate Rural Area","Monaghan","Number","22126"
"Population","2016","Female","State","State","Number","2407437"
"Population","2016","Female","State","Carlow","Number","28467"
"Population","2016","Female","State","Dublin City","Number","282284"
"Population","2016","Female","State","Dún Laoghaire-Rathdown","Number","113434"
"Population","2016","Female","State","Fingal","Number","150780"
"Population","2016","Female","State","South Dublin","Number","142490"
"Population","2016","Female","State","Kildare","Number","111958"
"Population","2016","Female","State","Kilkenny","Number","49699"
"Population","2016","Female","State","Laois","Number","41886"
"Population","2016","Female","State","Longford","Number","20286"
"Population","2016","Female","State","Louth","Number","65251"
"Population","2016","Female","State","Meath","Number","98268"
"Population","2016","Female","State","Offaly","Number","39123"
"Population","2016","Female","State","Westmeath","Number","44688"
"Population","2016","Female","State","Wexford","Number","76000"
"Population","2016","Female","State","Wicklow","Number","72269"
"Population","2016","Female","State","Clare","Number","60032"
"Population","2016","Female","State","Cork City","Number","63935"
"Population","2016","Female","State","Cork County","Number","210258"
"Population","2016","Female","State","Kerry","Number","74652"
"Population","2016","Female","State","Limerick City and County","Number","97559"
"Population","2016","Female","State","Tipperary","Number","79885"
"Population","2016","Female","State","Waterford City and County","Number","58525"
"Population","2016","Female","State","Galway City","Number","40868"
"Population","2016","Female","State","Galway County","Number","89527"
"Population","2016","Female","State","Leitrim","Number","15980"
"Population","2016","Female","State","Mayo","Number","65460"
"Population","2016","Female","State","Roscommon","Number","32167"
"Population","2016","Female","State","Sligo","Number","33170"
"Population","2016","Female","State","Cavan","Number","37846"
"Population","2016","Female","State","Donegal","Number","80170"
"Population","2016","Female","State","Monaghan","Number","30520"
"Population","2016","Female","Aggregate Town Area","State","Number","1527054"
"Population","2016","Female","Aggregate Town Area","Carlow","Number","14125"
"Population","2016","Female","Aggregate Town Area","Dublin City","Number","282284"
"Population","2016","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","112097"
"Population","2016","Female","Aggregate Town Area","Fingal","Number","140030"
"Population","2016","Female","Aggregate Town Area","South Dublin","Number","139812"
"Population","2016","Female","Aggregate Town Area","Kildare","Number","76303"
"Population","2016","Female","Aggregate Town Area","Kilkenny","Number","19727"
"Population","2016","Female","Aggregate Town Area","Laois","Number","20386"
"Population","2016","Female","Aggregate Town Area","Longford","Number","7032"
"Population","2016","Female","Aggregate Town Area","Louth","Number","43457"
"Population","2016","Female","Aggregate Town Area","Meath","Number","58336"
"Population","2016","Female","Aggregate Town Area","Offaly","Number","17071"
"Population","2016","Female","Aggregate Town Area","Westmeath","Number","22039"
"Population","2016","Female","Aggregate Town Area","Wexford","Number","29807"
"Population","2016","Female","Aggregate Town Area","Wicklow","Number","47600"
"Population","2016","Female","Aggregate Town Area","Clare","Number","24038"
"Population","2016","Female","Aggregate Town Area","Cork City","Number","63935"
"Population","2016","Female","Aggregate Town Area","Cork County","Number","109922"
"Population","2016","Female","Aggregate Town Area","Kerry","Number","27187"
"Population","2016","Female","Aggregate Town Area","Limerick City and County","Number","53169"
"Population","2016","Female","Aggregate Town Area","Tipperary","Number","33859"
"Population","2016","Female","Aggregate Town Area","Waterford City and County","Number","36292"
"Population","2016","Female","Aggregate Town Area","Galway City","Number","40868"
"Population","2016","Female","Aggregate Town Area","Galway County","Number","20652"
"Population","2016","Female","Aggregate Town Area","Leitrim","Number","1764"
"Population","2016","Female","Aggregate Town Area","Mayo","Number","19282"
"Population","2016","Female","Aggregate Town Area","Roscommon","Number","8855"
"Population","2016","Female","Aggregate Town Area","Sligo","Number","13554"
"Population","2016","Female","Aggregate Town Area","Cavan","Number","11894"
"Population","2016","Female","Aggregate Town Area","Donegal","Number","22420"
"Population","2016","Female","Aggregate Town Area","Monaghan","Number","9257"
"Population","2016","Female","Aggregate Rural Area","State","Number","880383"
"Population","2016","Female","Aggregate Rural Area","Carlow","Number","14342"
"Population","2016","Female","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1337"
"Population","2016","Female","Aggregate Rural Area","Fingal","Number","10750"
"Population","2016","Female","Aggregate Rural Area","South Dublin","Number","2678"
"Population","2016","Female","Aggregate Rural Area","Kildare","Number","35655"
"Population","2016","Female","Aggregate Rural Area","Kilkenny","Number","29972"
"Population","2016","Female","Aggregate Rural Area","Laois","Number","21500"
"Population","2016","Female","Aggregate Rural Area","Longford","Number","13254"
"Population","2016","Female","Aggregate Rural Area","Louth","Number","21794"
"Population","2016","Female","Aggregate Rural Area","Meath","Number","39932"
"Population","2016","Female","Aggregate Rural Area","Offaly","Number","22052"
"Population","2016","Female","Aggregate Rural Area","Westmeath","Number","22649"
"Population","2016","Female","Aggregate Rural Area","Wexford","Number","46193"
"Population","2016","Female","Aggregate Rural Area","Wicklow","Number","24669"
"Population","2016","Female","Aggregate Rural Area","Clare","Number","35994"
"Population","2016","Female","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Cork County","Number","100336"
"Population","2016","Female","Aggregate Rural Area","Kerry","Number","47465"
"Population","2016","Female","Aggregate Rural Area","Limerick City and County","Number","44390"
"Population","2016","Female","Aggregate Rural Area","Tipperary","Number","46026"
"Population","2016","Female","Aggregate Rural Area","Waterford City and County","Number","22233"
"Population","2016","Female","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Female","Aggregate Rural Area","Galway County","Number","68875"
"Population","2016","Female","Aggregate Rural Area","Leitrim","Number","14216"
"Population","2016","Female","Aggregate Rural Area","Mayo","Number","46178"
"Population","2016","Female","Aggregate Rural Area","Roscommon","Number","23312"
"Population","2016","Female","Aggregate Rural Area","Sligo","Number","19616"
"Population","2016","Female","Aggregate Rural Area","Cavan","Number","25952"
"Population","2016","Female","Aggregate Rural Area","Donegal","Number","57750"
"Population","2016","Female","Aggregate Rural Area","Monaghan","Number","21263"
