"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2011","Both sexes","Aggregate Rural Area","Donegal","Number","116863"
"Population","2011","Both sexes","Aggregate Rural Area","Monaghan","Number","42711"
"Population","2011","Male","State","State","Number","2272699"
"Population","2011","Male","State","Carlow","Number","27431"
"Population","2011","Male","State","Dublin City","Number","257303"
"Population","2011","Male","State","Dún Laoghaire-Rathdown","Number","98567"
"Population","2011","Male","State","Fingal","Number","134488"
"Population","2011","Male","State","South Dublin","Number","129544"
"Population","2011","Male","State","Kildare","Number","104658"
"Population","2011","Male","State","Kilkenny","Number","47788"
"Population","2011","Male","State","Laois","Number","40587"
"Population","2011","Male","State","Longford","Number","19649"
"Population","2011","Male","State","Louth","Number","60763"
"Population","2011","Male","State","Meath","Number","91910"
"Population","2011","Male","State","Offaly","Number","38430"
"Population","2011","Male","State","Westmeath","Number","42783"
"Population","2011","Male","State","Wexford","Number","71909"
"Population","2011","Male","State","Wicklow","Number","67542"
"Population","2011","Male","State","Clare","Number","58298"
"Population","2011","Male","State","Cork City","Number","58812"
"Population","2011","Male","State","Cork County","Number","198658"
"Population","2011","Male","State","Kerry","Number","72629"
"Population","2011","Male","State","Limerick City and County","Number","95815"
"Population","2011","Male","State","Tipperary","Number","79584"
"Population","2011","Male","State","Waterford City and County","Number","56464"
"Population","2011","Male","State","Galway City","Number","36514"
"Population","2011","Male","State","Galway County","Number","88244"
"Population","2011","Male","State","Leitrim","Number","16144"
"Population","2011","Male","State","Mayo","Number","65420"
"Population","2011","Male","State","Roscommon","Number","32353"
"Population","2011","Male","State","Sligo","Number","32435"
"Population","2011","Male","State","Cavan","Number","37013"
"Population","2011","Male","State","Donegal","Number","80523"
"Population","2011","Male","State","Monaghan","Number","30441"
"Population","2011","Male","Aggregate Town Area","State","Number","1389160"
"Population","2011","Male","Aggregate Town Area","Carlow","Number","13246"
"Population","2011","Male","Aggregate Town Area","Dublin City","Number","257303"
"Population","2011","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","97673"
"Population","2011","Male","Aggregate Town Area","Fingal","Number","123778"
"Population","2011","Male","Aggregate Town Area","South Dublin","Number","126741"
"Population","2011","Male","Aggregate Town Area","Kildare","Number","70166"
"Population","2011","Male","Aggregate Town Area","Kilkenny","Number","17188"
"Population","2011","Male","Aggregate Town Area","Laois","Number","19089"
"Population","2011","Male","Aggregate Town Area","Longford","Number","6300"
"Population","2011","Male","Aggregate Town Area","Louth","Number","38703"
"Population","2011","Male","Aggregate Town Area","Meath","Number","51788"
"Population","2011","Male","Aggregate Town Area","Offaly","Number","16444"
"Population","2011","Male","Aggregate Town Area","Westmeath","Number","20528"
"Population","2011","Male","Aggregate Town Area","Wexford","Number","26981"
"Population","2011","Male","Aggregate Town Area","Wicklow","Number","43313"
"Population","2011","Male","Aggregate Town Area","Clare","Number","22520"
"Population","2011","Male","Aggregate Town Area","Cork City","Number","58812"
"Population","2011","Male","Aggregate Town Area","Cork County","Number","99809"
"Population","2011","Male","Aggregate Town Area","Kerry","Number","24879"
"Population","2011","Male","Aggregate Town Area","Limerick City and County","Number","50791"
"Population","2011","Male","Aggregate Town Area","Tipperary","Number","32170"
"Population","2011","Male","Aggregate Town Area","Waterford City and County","Number","34603"
"Population","2011","Male","Aggregate Town Area","Galway City","Number","36514"
"Population","2011","Male","Aggregate Town Area","Galway County","Number","19290"
"Population","2011","Male","Aggregate Town Area","Leitrim","Number","1605"
"Population","2011","Male","Aggregate Town Area","Mayo","Number","18290"
"Population","2011","Male","Aggregate Town Area","Roscommon","Number","8161"
"Population","2011","Male","Aggregate Town Area","Sligo","Number","11672"
"Population","2011","Male","Aggregate Town Area","Cavan","Number","10840"
"Population","2011","Male","Aggregate Town Area","Donegal","Number","21381"
"Population","2011","Male","Aggregate Town Area","Monaghan","Number","8582"
"Population","2011","Male","Aggregate Rural Area","State","Number","883539"
"Population","2011","Male","Aggregate Rural Area","Carlow","Number","14185"
"Population","2011","Male","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","894"
"Population","2011","Male","Aggregate Rural Area","Fingal","Number","10710"
"Population","2011","Male","Aggregate Rural Area","South Dublin","Number","2803"
"Population","2011","Male","Aggregate Rural Area","Kildare","Number","34492"
"Population","2011","Male","Aggregate Rural Area","Kilkenny","Number","30600"
"Population","2011","Male","Aggregate Rural Area","Laois","Number","21498"
"Population","2011","Male","Aggregate Rural Area","Longford","Number","13349"
"Population","2011","Male","Aggregate Rural Area","Louth","Number","22060"
"Population","2011","Male","Aggregate Rural Area","Meath","Number","40122"
"Population","2011","Male","Aggregate Rural Area","Offaly","Number","21986"
"Population","2011","Male","Aggregate Rural Area","Westmeath","Number","22255"
"Population","2011","Male","Aggregate Rural Area","Wexford","Number","44928"
"Population","2011","Male","Aggregate Rural Area","Wicklow","Number","24229"
"Population","2011","Male","Aggregate Rural Area","Clare","Number","35778"
"Population","2011","Male","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Cork County","Number","98849"
"Population","2011","Male","Aggregate Rural Area","Kerry","Number","47750"
"Population","2011","Male","Aggregate Rural Area","Limerick City and County","Number","45024"
"Population","2011","Male","Aggregate Rural Area","Tipperary","Number","47414"
"Population","2011","Male","Aggregate Rural Area","Waterford City and County","Number","21861"
"Population","2011","Male","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Galway County","Number","68954"
"Population","2011","Male","Aggregate Rural Area","Leitrim","Number","14539"
"Population","2011","Male","Aggregate Rural Area","Mayo","Number","47130"
"Population","2011","Male","Aggregate Rural Area","Roscommon","Number","24192"
"Population","2011","Male","Aggregate Rural Area","Sligo","Number","20763"
"Population","2011","Male","Aggregate Rural Area","Cavan","Number","26173"
"Population","2011","Male","Aggregate Rural Area","Donegal","Number","59142"
"Population","2011","Male","Aggregate Rural Area","Monaghan","Number","21859"
"Population","2011","Female","State","State","Number","2315553"
"Population","2011","Female","State","Carlow","Number","27181"
"Population","2011","Female","State","Dublin City","Number","270309"
"Population","2011","Female","State","Dún Laoghaire-Rathdown","Number","107694"
"Population","2011","Female","State","Fingal","Number","139503"
"Population","2011","Female","State","South Dublin","Number","135661"
"Population","2011","Female","State","Kildare","Number","105654"
"Population","2011","Female","State","Kilkenny","Number","47631"
"Population","2011","Female","State","Laois","Number","39972"
"Population","2011","Female","State","Longford","Number","19351"
"Population","2011","Female","State","Louth","Number","62134"
"Population","2011","Female","State","Meath","Number","92225"
"Population","2011","Female","State","Offaly","Number","38257"
"Population","2011","Female","State","Westmeath","Number","43381"
"Population","2011","Female","State","Wexford","Number","73411"
"Population","2011","Female","State","Wicklow","Number","69098"
"Population","2011","Female","State","Clare","Number","58898"
"Population","2011","Female","State","Cork City","Number","60418"
"Population","2011","Female","State","Cork County","Number","201144"
"Population","2011","Female","State","Kerry","Number","72873"
"Population","2011","Female","State","Limerick City and County","Number","95994"
"Population","2011","Female","State","Tipperary","Number","79170"
"Population","2011","Female","State","Waterford City and County","Number","57331"
"Population","2011","Female","State","Galway City","Number","39015"
"Population","2011","Female","State","Galway County","Number","86880"
"Population","2011","Female","State","Leitrim","Number","15654"
"Population","2011","Female","State","Mayo","Number","65218"
"Population","2011","Female","State","Roscommon","Number","31712"
"Population","2011","Female","State","Sligo","Number","32958"
"Population","2011","Female","State","Cavan","Number","36170"
"Population","2011","Female","State","Donegal","Number","80614"
"Population","2011","Female","State","Monaghan","Number","30042"
"Population","2011","Female","Aggregate Town Area","State","Number","1457722"
"Population","2011","Female","Aggregate Town Area","Carlow","Number","13473"
"Population","2011","Female","Aggregate Town Area","Dublin City","Number","270309"
"Population","2011","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","106681"
"Population","2011","Female","Aggregate Town Area","Fingal","Number","129055"
"Population","2011","Female","Aggregate Town Area","South Dublin","Number","132988"
"Population","2011","Female","Aggregate Town Area","Kildare","Number","72005"
"Population","2011","Female","Aggregate Town Area","Kilkenny","Number","18141"
"Population","2011","Female","Aggregate Town Area","Laois","Number","19092"
"Population","2011","Female","Aggregate Town Area","Longford","Number","6608"
"Population","2011","Female","Aggregate Town Area","Louth","Number","40414"
"Population","2011","Female","Aggregate Town Area","Meath","Number","53230"
"Population","2011","Female","Aggregate Town Area","Offaly","Number","17182"
"Population","2011","Female","Aggregate Town Area","Westmeath","Number","21295"
"Population","2011","Female","Aggregate Town Area","Wexford","Number","28630"
"Population","2011","Female","Aggregate Town Area","Wicklow","Number","45632"
"Population","2011","Female","Aggregate Town Area","Clare","Number","23861"
"Population","2011","Female","Aggregate Town Area","Cork City","Number","60418"
"Population","2011","Female","Aggregate Town Area","Cork County","Number","104723"
"Population","2011","Female","Aggregate Town Area","Kerry","Number","26600"
"Population","2011","Female","Aggregate Town Area","Limerick City and County","Number","52608"
"Population","2011","Female","Aggregate Town Area","Tipperary","Number","33708"
"Population","2011","Female","Aggregate Town Area","Waterford City and County","Number","36044"
