"Year","Sex","Age Group","Year Rate"
"2014","Male","25 - 74","10.8417"
"2015","All","15 - 24","20.2833"
"2015","All","15 - 74","9.91667"
"2015","All","25 - 74","8.50833"
"2015","Female","15 - 24","16.3917"
"2015","Female","15 - 74","8.89167"
"2015","Female","25 - 74","7.85"
"2015","Male","15 - 24","23.625"
"2015","Male","15 - 74","10.775"
"2015","Male","25 - 74","9.06667"
"2016","All","15 - 24","16.7917"
"2016","All","15 - 74","8.375"
"2016","All","25 - 74","7.18333"
"2016","Female","15 - 24","13.4833"
"2016","Female","15 - 74","7.59167"
"2016","Female","25 - 74","6.725"
"2016","Male","15 - 24","19.6917"
"2016","Male","15 - 74","9.05"
"2016","Male","25 - 74","7.56667"
"2017","All","15 - 24","14.425"
"2017","All","15 - 74","6.73333"
"2017","All","25 - 74","5.74167"
"2017","Female","15 - 24","12.625"
"2017","Female","15 - 74","6.31667"
"2017","Female","25 - 74","5.425"
"2017","Male","15 - 24","16.025"
"2017","Male","15 - 74","7.1"
"2017","Male","25 - 74","5.975"
"2018","All","15 - 24","13.7667"
"2018","All","15 - 74","5.78333"
"2018","All","25 - 74","4.71667"
"2018","Female","15 - 24","12.55"
"2018","Female","15 - 74","5.71667"
"2018","Female","25 - 74","4.76667"
"2018","Male","15 - 24","14.825"
"2018","Male","15 - 74","5.85"
"2018","Male","25 - 74","4.66667"
"2019","All","15 - 24","12.4083"
"2019","All","15 - 74","4.96667"
"2019","All","25 - 74","3.95833"
"2019","Female","15 - 24","10.5833"
"2019","Female","15 - 74","4.71667"
"2019","Female","25 - 74","3.86667"
"2019","Male","15 - 24","14.1083"
"2019","Male","15 - 74","5.19167"
"2019","Male","25 - 74","4.03333"
"2020","All","15 - 24","15.8417"
"2020","All","15 - 74","5.825"
"2020","All","25 - 74","4.56667"
"2020","Female","15 - 24","15.7833"
"2020","Female","15 - 74","5.85"
"2020","Female","25 - 74","4.525"
"2020","Male","15 - 24","15.9167"
"2020","Male","15 - 74","5.81667"
"2020","Male","25 - 74","4.59167"
"2021","All","15 - 24","15.14"
"2021","All","15 - 74","6.48"
"2021","All","25 - 74","5.28"
"2021","Female","15 - 24","15.82"
"2021","Female","15 - 74","6.43"
"2021","Female","25 - 74","5.07"
"2021","Male","15 - 24","14.48"
"2021","Male","15 - 74","6.51"
"2021","Male","25 - 74","5.44"
