"Year","County","Planning Permission"
"1985","Dublin","0"
"1985","Fingal","0"
"1985","Galway","0"
"1985","Kerry","0"
"1985","Kildare","0"
"1985","Kilkenny","0"
"1985","Laois","0"
"1985","Leitrim","0"
"1985","Limerick","0"
"1985","Longford","0"
"1985","Louth","0"
"1985","Mayo","0"
"1985","Meath","0"
"1985","Monaghan","0"
"1985","Offaly","0"
"1985","Roscommon","0"
"1985","Sligo","0"
"1985","Tipperary","0"
"1985","Waterford","0"
"1985","Wexford","0"
"1985","Wicklow","0"
"1986","Carlow","0"
"1986","Cavan","0"
"1986","Clare","0"
"1986","Cork","0"
"1986","Donegal","0"
"1986","Dublin","0"
"1986","Fingal","0"
"1986","Galway","0"
"1986","Kerry","0"
"1986","Kildare","0"
"1986","Kilkenny","0"
"1986","Laois","0"
"1986","Leitrim","0"
"1986","Limerick","0"
"1986","Longford","0"
"1986","Louth","0"
"1986","Mayo","0"
"1986","Meath","0"
"1986","Monaghan","0"
"1986","Offaly","0"
"1986","Roscommon","0"
"1986","Sligo","0"
"1986","Tipperary","0"
"1986","Waterford","0"
"1986","Wexford","0"
"1986","Wicklow","0"
"1987","Carlow","0"
"1987","Cavan","0"
"1987","Clare","0"
"1987","Cork","0"
"1987","Donegal","0"
"1987","Dublin","0"
"1987","Fingal","0"
"1987","Galway","0"
"1987","Kerry","0"
"1987","Kildare","0"
"1987","Kilkenny","0"
"1987","Laois","0"
"1987","Leitrim","0"
"1987","Limerick","0"
"1987","Longford","0"
"1987","Louth","0"
"1987","Mayo","0"
"1987","Meath","0"
"1987","Monaghan","0"
"1987","Offaly","0"
"1987","Roscommon","0"
"1987","Sligo","0"
"1987","Tipperary","0"
"1987","Waterford","0"
"1987","Wexford","0"
"1987","Wicklow","0"
"1988","Carlow","0"
"1988","Cavan","0"
"1988","Clare","0"
"1988","Cork","0"
"1988","Donegal","0"
"1988","Dublin","0"
"1988","Fingal","0"
"1988","Galway","0"
"1988","Kerry","0"
"1988","Kildare","0"
"1988","Kilkenny","0"
"1988","Laois","0"
"1988","Leitrim","0"
"1988","Limerick","0"
"1988","Longford","0"
"1988","Louth","0"
"1988","Mayo","0"
"1988","Meath","0"
"1988","Monaghan","0"
"1988","Offaly","0"
"1988","Roscommon","0"
"1988","Sligo","0"
"1988","Tipperary","0"
"1988","Waterford","0"
"1988","Wexford","0"
"1988","Wicklow","0"
"1989","Carlow","0"
"1989","Cavan","0"
"1989","Clare","0"
"1989","Cork","0"
"1989","Donegal","0"
"1989","Dublin","0"
"1989","Fingal","0"
"1989","Galway","0"
"1989","Kerry","0"
"1989","Kildare","0"
"1989","Kilkenny","0"
"1989","Laois","0"
"1989","Leitrim","0"
"1989","Limerick","0"
"1989","Longford","0"
"1989","Louth","0"
"1989","Mayo","0"
"1989","Meath","0"
"1989","Monaghan","0"
"1989","Offaly","0"
"1989","Roscommon","0"
"1989","Sligo","0"
"1989","Tipperary","0"
"1989","Waterford","0"
"1989","Wexford","0"
"1989","Wicklow","0"
"1990","Carlow","0"
"1990","Cavan","0"
"1990","Clare","0"
"1990","Cork","0"
"1990","Donegal","0"
"1990","Dublin","0"
"1990","Fingal","0"
"1990","Galway","0"
"1990","Kerry","0"
"1990","Kildare","0"
"1990","Kilkenny","0"
"1990","Laois","0"
"1990","Leitrim","0"
"1990","Limerick","0"
"1990","Longford","0"
"1990","Louth","0"
"1990","Mayo","0"
"1990","Meath","0"
"1990","Monaghan","0"
"1990","Offaly","0"
"1990","Roscommon","0"
"1990","Sligo","0"
"1990","Tipperary","0"
"1990","Waterford","0"
"1990","Wexford","0"
"1990","Wicklow","0"
"1991","Carlow","0"
"1991","Cavan","0"
"1991","Clare","0"
"1991","Cork","0"
"1991","Donegal","0"
"1991","Dublin","0"
"1991","Fingal","0"
"1991","Galway","0"
"1991","Kerry","0"
"1991","Kildare","0"
"1991","Kilkenny","0"
"1991","Laois","0"
"1991","Leitrim","0"
"1991","Limerick","0"
"1991","Longford","0"
"1991","Louth","0"
"1991","Mayo","0"
"1991","Meath","0"
"1991","Monaghan","0"
"1991","Offaly","0"
