Group,County
1,Cavan
1,Roscommon
1,Donegal
1,Longford
1,Leitrim
1,Mayo
1,Tipperary
1,Monaghan
2,Carlow
2,Kilkenny
2,Clare
2,Kerry
2,Offaly
2,Waterford
2,Wexford
2,Laois
2,Westmeath
2,Sligo
3,Cork
3,Galway
3,Meath
3,Limerick
3,Louth
4,Kildare
4,Wicklow
5,Dublin
