"County","Year","Female Population","Male Population"
"Meath","1908","33648","31631"
"Meath","1909","33490","31473"
"Meath","1910","33332","31315"
"Meath","1911","33934","31157"
"Meath","1912","33849","31072"
"Meath","1913","33764","30987"
"Meath","1914","33680","30902"
"Meath","1915","33595","30818"
"Meath","1916","33510","30733"
"Meath","1917","33426","30648"
"Meath","1918","33341","30564"
"Meath","1919","33256","30479"
"Meath","1920","33172","30394"
"Meath","1921","33087","30310"
"Meath","1922","33002","30225"
"Meath","1923","32918","30140"
"Meath","1924","32833","30056"
"Meath","1925","32748","29971"
"Meath","1926","33082","29887"
"Meath","1927","32983","29788"
"Meath","1928","32885","29690"
"Meath","1929","32787","29592"
"Meath","1930","32688","29493"
"Meath","1931","32590","29395"
"Meath","1932","32492","29297"
"Meath","1933","32393","29198"
"Meath","1934","32295","29100"
"Meath","1935","32197","29002"
"Meath","1936","32501","28904"
"Meath","1937","32738","29141"
"Meath","1938","32976","29379"
"Meath","1939","33214","29617"
"Meath","1940","33452","29855"
"Meath","1941","33690","30092"
"Meath","1942","33927","30330"
"Meath","1943","34165","30568"
"Meath","1944","34403","30806"
"Meath","1945","34641","31044"
"Meath","1946","34950","31282"
"Meath","1947","34965","31297"
"Meath","1948","34980","31312"
"Meath","1949","34995","31327"
"Meath","1950","35010","31342"
"Meath","1951","34980","31357"
"Meath","1952","35095","31472"
"Meath","1953","35210","31587"
"Meath","1954","35325","31702"
"Meath","1955","35440","31817"
"Meath","1956","34830","31932"
"Meath","1957","34702","31804"
"Meath","1958","34575","31677"
"Meath","1959","34448","31550"
"Meath","1960","34321","31423"
"Meath","1961","33826","31296"
"Meath","1962","34056","31526"
"Meath","1963","34286","31756"
"Meath","1964","34516","31986"
"Meath","1965","34746","32216"
"Meath","1966","34877","32446"
"Meath","1967","35338","32907"
"Meath","1968","35799","33368"
"Meath","1969","36260","33829"
"Meath","1970","36721","34290"
"Meath","1971","36977","34752"
"Meath","1972","38134","35909"
"Meath","1973","39291","37066"
"Meath","1974","40449","38224"
"Meath","1975","41606","39381"
"Meath","1976","42763","40538"
"Meath","1977","43921","41696"
"Meath","1978","45078","42853"
"Meath","1979","46704","44011"
"Meath","1980","47929","45236"
"Meath","1981","48957","46462"
"Meath","1982","49854","47359"
"Meath","1983","50752","48257"
"Meath","1984","51649","49154"
"Meath","1985","52547","50052"
"Meath","1986","52931","50950"
"Meath","1987","53156","51175"
"Meath","1988","53382","51401"
"Meath","1989","53608","51627"
"Meath","1990","53834","51853"
"Meath","1991","53291","52079"
"Meath","1992","53753","52541"
"Meath","1993","54216","53004"
"Meath","1994","54678","53466"
"Meath","1995","55141","53929"
"Meath","1996","55340","54392"
"Meath","1997","57320","56372"
"Meath","1998","59300","58352"
"Meath","1999","61280","60332"
"Meath","2000","63260","62312"
"Meath","2001","65240","64292"
"Meath","2002","67733","66272"
"Meath","2003","71827","70366"
"Meath","2004","75922","74461"
"Meath","2005","80017","78556"
"Meath","2006","80180","82651"
"Meath","2007","82031","84502"
"Meath","2008","83883","86354"
"Meath","2009","85735","88206"
"Meath","2010","87587","90058"
"Meath","2011","92225","91910"
"Meath","2012","93198","92883"
"Meath","2013","94171","93856"
"Meath","2014","95144","94829"
"Meath","2015","96117","95802"
"Meath","2016","98268","96776"
"Monaghan","1841","98071","102371"
"Monaghan","1842","95133","99433"
"Monaghan","1843","92196","96496"
"Monaghan","1844","89258","93558"
"Monaghan","1845","86321","90621"
"Monaghan","1846","83383","87683"
"Monaghan","1847","80446","84746"
"Monaghan","1848","77508","81808"
"Monaghan","1849","74571","78871"
"Monaghan","1850","71633","75933"
"Monaghan","1851","68827","72996"
"Monaghan","1852","67981","72150"
"Monaghan","1853","67135","71304"
"Monaghan","1854","66290","70459"
"Monaghan","1855","65444","69613"
"Monaghan","1856","64598","68767"
"Monaghan","1857","63753","67922"
"Monaghan","1858","62907","67076"
"Monaghan","1859","62062","66231"
"Monaghan","1860","61216","65385"
"Monaghan","1861","61942","64540"
"Monaghan","1862","61388","63986"
"Monaghan","1863","60835","63433"
"Monaghan","1864","60282","62880"
"Monaghan","1865","59729","62327"
"Monaghan","1866","59176","61774"
"Monaghan","1867","58622","61220"
"Monaghan","1868","58069","60667"
"Monaghan","1869","57516","60114"
"Monaghan","1870","56963","59561"
"Monaghan","1871","55961","59008"
"Monaghan","1872","55327","58374"
"Monaghan","1873","54693","57740"
"Monaghan","1874","54059","57106"
"Monaghan","1875","53426","56473"
"Monaghan","1876","52792","55839"
"Monaghan","1877","52158","55205"
"Monaghan","1878","51525","54572"
"Monaghan","1879","50891","53938"
"Monaghan","1880","50257","53304"
"Monaghan","1881","50077","52671"
"Monaghan","1882","49157","51751"
"Monaghan","1883","48238","50832"
"Monaghan","1884","47319","49913"
"Monaghan","1885","46400","48994"
"Monaghan","1886","45481","48075"
"Monaghan","1887","44561","47155"
"Monaghan","1888","43642","46236"
"Monaghan","1889","42723","45317"
"Monaghan","1890","41804","44398"
"Monaghan","1891","42727","43479"
"Monaghan","1892","42129","42881"
"Monaghan","1893","41531","42283"
"Monaghan","1894","40934","41686"
"Monaghan","1895","40336","41088"
"Monaghan","1896","39739","40491"
"Monaghan","1897","39141","39893"
"Monaghan","1898","38543","39295"
"Monaghan","1899","37946","38698"
"Monaghan","1900","37348","38100"
"Monaghan","1901","37108","37503"
"Monaghan","1902","36907","37302"
"Monaghan","1903","36707","37102"
"Monaghan","1904","36507","36902"
"Monaghan","1905","36307","36702"
"Monaghan","1906","36107","36502"
"Monaghan","1907","35907","36302"
"Monaghan","1908","35707","36102"
"Monaghan","1909","35507","35902"
"Monaghan","1910","35307","35702"
"Monaghan","1911","35953","35502"
"Monaghan","1912","35711","35260"
"Monaghan","1913","35469","35018"
"Monaghan","1914","35227","34776"
"Monaghan","1915","34985","34534"
"Monaghan","1916","34743","34292"
"Monaghan","1917","34501","34050"
"Monaghan","1918","34259","33808"
"Monaghan","1919","34017","33566"
"Monaghan","1920","33775","33324"
"Monaghan","1921","33533","33082"
"Monaghan","1922","33291","32840"
"Monaghan","1923","33049","32598"
"Monaghan","1924","32807","32356"
"Monaghan","1925","32565","32114"
"Monaghan","1926","33258","31873"
"Monaghan","1927","33000","31615"
"Monaghan","1928","32742","31357"
"Monaghan","1929","32484","31099"
"Monaghan","1930","32226","30841"
"Monaghan","1931","31969","30584"
"Monaghan","1932","31711","30326"
"Monaghan","1933","31453","30068"
"Monaghan","1934","31195","29810"
"Monaghan","1935","30937","29552"
"Monaghan","1936","31994","29295"
"Monaghan","1937","31784","29085"
"Monaghan","1938","31575","28876"
"Monaghan","1939","31366","28667"
"Monaghan","1940","31156","28457"
"Monaghan","1941","30947","28248"
"Monaghan","1942","30738","28039"
"Monaghan","1943","30528","27829"
"Monaghan","1944","30319","27620"
"Monaghan","1945","30110","27411"
"Monaghan","1946","30013","27202"
"Monaghan","1947","29818","27007"
"Monaghan","1948","29623","26812"
"Monaghan","1949","29428","26617"
"Monaghan","1950","29233","26422"
"Monaghan","1951","29118","26227"
"Monaghan","1952","28826","25935"
"Monaghan","1953","28535","25644"
"Monaghan","1954","28243","25352"
"Monaghan","1955","27952","25061"
"Monaghan","1956","27294","24770"
"Monaghan","1957","26840","24316"
"Monaghan","1958","26386","23862"
"Monaghan","1959","25932","23408"
"Monaghan","1960","25478","22954"
"Monaghan","1961","24588","22500"
"Monaghan","1962","24452","22364"
"Monaghan","1963","24316","22228"
"Monaghan","1964","24181","22093"
"Monaghan","1965","24045","21957"
"Monaghan","1966","23910","21822"
"Monaghan","1967","23975","21887"
"Monaghan","1968","24041","21953"
"Monaghan","1969","24106","22018"
"Monaghan","1970","24172","22084"
"Monaghan","1971","24092","22150"
"Monaghan","1972","24339","22397"
"Monaghan","1973","24587","22645"
"Monaghan","1974","24834","22892"
"Monaghan","1975","25082","23140"
"Monaghan","1976","25330","23388"
"Monaghan","1977","25577","23635"
"Monaghan","1978","25825","23883"
"Monaghan","1979","26245","24131"
"Monaghan","1980","26436","24322"
"Monaghan","1981","26679","24513"
"Monaghan","1982","26843","24677"
"Monaghan","1983","27007","24841"
"Monaghan","1984","27172","25006"
"Monaghan","1985","27336","25170"
"Monaghan","1986","27044","25335"
"Monaghan","1987","26993","25284"
"Monaghan","1988","26942","25233"
"Monaghan","1989","26891","25182"
"Monaghan","1990","26840","25131"
"Monaghan","1991","26212","25081"
"Monaghan","1992","26226","25095"
"Monaghan","1993","26241","25110"
"Monaghan","1994","26256","25125"
"Monaghan","1995","26271","25140"
"Monaghan","1996","26158","25155"
"Monaghan","1997","26263","25260"
"Monaghan","1998","26368","25365"
"Monaghan","1999","26473","25470"
"Monaghan","2000","26579","25576"
"Monaghan","2001","26684","25681"
"Monaghan","2002","26806","25787"
"Monaghan","2003","27505","26486"
"Monaghan","2004","28204","27185"
"Monaghan","2005","28903","27884"
"Monaghan","2006","27414","28583"
"Monaghan","2007","27785","28954"
"Monaghan","2008","28157","29326"
"Monaghan","2009","28528","29697"
"Monaghan","2010","28900","30069"
"Monaghan","2011","30042","30441"
"Monaghan","2012","30127","30526"
"Monaghan","2013","30212","30611"
"Monaghan","2014","30297","30696"
"Monaghan","2015","30382","30781"
"Monaghan","2016","30520","30866"
"Offaly","1841","72651","74206"
"Offaly","1842","70909","72464"
"Offaly","1843","69168","70723"
"Offaly","1844","67426","68981"
"Offaly","1845","65685","67240"
"Offaly","1846","63944","65499"
"Offaly","1847","62202","63757"
"Offaly","1848","60461","62016"
"Offaly","1849","58719","60274"
"Offaly","1850","56978","58533"
"Offaly","1851","55284","56792"
"Offaly","1852","54057","55565"
"Offaly","1853","52831","54339"
"Offaly","1854","51605","53113"
"Offaly","1855","50379","51887"
"Offaly","1856","49153","50661"
"Offaly","1857","47926","49434"
"Offaly","1858","46700","48208"
"Offaly","1859","45474","46982"
"Offaly","1860","44248","45756"
"Offaly","1861","45513","44530"
"Offaly","1862","44819","43836"
"Offaly","1863","44125","43142"
"Offaly","1864","43431","42448"
"Offaly","1865","42738","41755"
"Offaly","1866","42044","41061"
"Offaly","1867","41350","40367"
"Offaly","1868","40657","39674"
"Offaly","1869","39963","38980"
"Offaly","1870","39269","38286"
"Offaly","1871","38307","37593"
"Offaly","1872","38122","37408"
"Offaly","1873","37937","37223"
"Offaly","1874","37752","37038"
"Offaly","1875","37568","36854"
"Offaly","1876","37383","36669"
"Offaly","1877","37198","36484"
"Offaly","1878","37014","36300"
"Offaly","1879","36829","36115"
"Offaly","1880","36644","35930"
"Offaly","1881","37106","35746"
"Offaly","1882","36710","35350"
"Offaly","1883","36314","34954"
"Offaly","1884","35918","34558"
"Offaly","1885","35522","34162"
"Offaly","1886","35126","33766"
"Offaly","1887","34730","33370"
"Offaly","1888","34334","32974"
"Offaly","1889","33938","32578"
"Offaly","1890","33542","32182"
"Offaly","1891","33777","31786"
"Offaly","1892","33510","31519"
"Offaly","1893","33244","31253"
"Offaly","1894","32977","30986"
"Offaly","1895","32711","30720"
"Offaly","1896","32444","30453"
"Offaly","1897","32178","30187"
"Offaly","1898","31912","29921"
"Offaly","1899","31645","29654"
"Offaly","1900","31379","29388"
"Offaly","1901","31065","29122"
"Offaly","1902","30855","28912"
"Offaly","1903","30646","28703"
"Offaly","1904","30436","28493"
"Offaly","1905","30227","28284"
"Offaly","1906","30017","28074"
"Offaly","1907","29808","27865"
"Offaly","1908","29599","27656"
"Offaly","1909","29389","27446"
"Offaly","1910","29180","27237"
"Offaly","1911","29804","27028"
"Offaly","1912","29670","26894"
"Offaly","1913","29537","26761"
"Offaly","1914","29403","26627"
"Offaly","1915","29270","26494"
"Offaly","1916","29136","26360"
"Offaly","1917","29003","26227"
"Offaly","1918","28869","26093"
"Offaly","1919","28736","25960"
"Offaly","1920","28602","25826"
"Offaly","1921","28469","25693"
"Offaly","1922","28335","25559"
"Offaly","1923","28202","25426"
"Offaly","1924","28068","25292"
"Offaly","1925","27935","25159"
"Offaly","1926","27566","25026"
"Offaly","1927","27438","24898"
"Offaly","1928","27311","24771"
"Offaly","1929","27184","24644"
"Offaly","1930","27056","24516"
"Offaly","1931","26929","24389"
"Offaly","1932","26802","24262"
"Offaly","1933","26674","24134"
"Offaly","1934","26547","24007"
"Offaly","1935","26420","23880"
"Offaly","1936","27555","23753"
"Offaly","1937","27617","23815"
"Offaly","1938","27679","23877"
"Offaly","1939","27741","23939"
"Offaly","1940","27803","24001"
"Offaly","1941","27866","24064"
"Offaly","1942","27928","24126"
"Offaly","1943","27990","24188"
"Offaly","1944","28052","24250"
"Offaly","1945","28114","24312"
"Offaly","1946","29311","24375"
"Offaly","1947","29283","24347"
"Offaly","1948","29256","24320"
"Offaly","1949","29228","24292"
"Offaly","1950","29201","24265"
"Offaly","1951","28306","24238"
"Offaly","1952","28334","24266"
"Offaly","1953","28362","24294"
"Offaly","1954","28390","24322"
"Offaly","1955","28418","24350"
"Offaly","1956","27591","24379"
"Offaly","1957","27584","24372"
"Offaly","1958","27577","24365"
"Offaly","1959","27570","24358"
"Offaly","1960","27563","24351"
"Offaly","1961","27188","24345"
"Offaly","1962","27261","24418"
"Offaly","1963","27334","24491"
"Offaly","1964","27407","24564"
"Offaly","1965","27480","24637"
"Offaly","1966","27007","24710"
"Offaly","1967","27025","24728"
"Offaly","1968","27043","24746"
"Offaly","1969","27061","24764"
"Offaly","1970","27079","24782"
"Offaly","1971","27029","24800"
"Offaly","1972","27372","25143"
"Offaly","1973","27716","25487"
"Offaly","1974","28060","25831"
"Offaly","1975","28404","26175"
"Offaly","1976","28747","26518"
"Offaly","1977","29091","26862"
"Offaly","1978","29435","27206"
"Offaly","1979","29792","27550"
"Offaly","1980","30028","27786"
"Offaly","1981","30290","28022"
"Offaly","1982","30488","28220"
"Offaly","1983","30687","28419"
"Offaly","1984","30886","28618"
"Offaly","1985","31085","28817"
"Offaly","1986","30819","29016"
"Offaly","1987","30736","28933"
"Offaly","1988","30653","28850"
"Offaly","1989","30570","28767"
"Offaly","1990","30487","28684"
"Offaly","1991","29892","28602"
"Offaly","1992","29994","28704"
"Offaly","1993","30096","28806"
"Offaly","1994","30199","28909"
"Offaly","1995","30301","29011"
"Offaly","1996","30003","29114"
"Offaly","1997","30397","29508"
"Offaly","1998","30791","29902"
"Offaly","1999","31185","30296"
"Offaly","2000","31579","30690"
"Offaly","2001","31973","31084"
"Offaly","2002","32185","31478"
"Offaly","2003","33299","32592"
"Offaly","2004","34414","33707"
"Offaly","2005","35529","34822"
"Offaly","2006","34931","35937"
"Offaly","2007","35429","36435"
"Offaly","2008","35928","36934"
"Offaly","2009","36426","37432"
"Offaly","2010","36925","37931"
"Offaly","2011","38257","38430"
"Offaly","2012","38338","38511"
"Offaly","2013","38420","38593"
"Offaly","2014","38501","38674"
"Offaly","2015","38583","38756"
"Offaly","2016","39123","38838"
"Roscommon","1841","127016","126575"
"Roscommon","1842","123061","122620"
"Roscommon","1843","119106","118665"
"Roscommon","1844","115151","114710"
"Roscommon","1845","111196","110755"
"Roscommon","1846","107241","106800"
"Roscommon","1847","103286","102845"
"Roscommon","1848","99331","98890"
"Roscommon","1849","95376","94935"
"Roscommon","1850","91421","90980"
"Roscommon","1851","86411","87025"
"Roscommon","1852","85451","86065"
"Roscommon","1853","84492","85106"
"Roscommon","1854","83532","84146"
"Roscommon","1855","82573","83187"
"Roscommon","1856","81614","82228"
"Roscommon","1857","80654","81268"
"Roscommon","1858","79695","80309"
"Roscommon","1859","78735","79349"
"Roscommon","1860","77776","78390"
"Roscommon","1861","79841","77431"
"Roscommon","1862","79100","76690"
"Roscommon","1863","78359","75949"
"Roscommon","1864","77618","75208"
"Roscommon","1865","76877","74467"
"Roscommon","1866","76136","73726"
"Roscommon","1867","75396","72986"
"Roscommon","1868","74655","72245"
"Roscommon","1869","73914","71504"
"Roscommon","1870","73173","70763"
"Roscommon","1871","70647","70023"
"Roscommon","1872","70228","69604"
"Roscommon","1873","69809","69185"
"Roscommon","1874","69390","68766"
"Roscommon","1875","68971","68347"
"Roscommon","1876","68552","67928"
"Roscommon","1877","68133","67509"
"Roscommon","1878","67714","67090"
"Roscommon","1879","67295","66671"
"Roscommon","1880","66876","66252"
"Roscommon","1881","66657","65833"
"Roscommon","1882","65713","64889"
"Roscommon","1883","64769","63945"
"Roscommon","1884","63826","63002"
"Roscommon","1885","62882","62058"
"Roscommon","1886","61939","61115"
"Roscommon","1887","60995","60171"
"Roscommon","1888","60051","59227"
"Roscommon","1889","59108","58284"
"Roscommon","1890","58164","57340"
"Roscommon","1891","58000","56397"
"Roscommon","1892","57416","55813"
"Roscommon","1893","56832","55229"
"Roscommon","1894","56248","54645"
"Roscommon","1895","55664","54061"
"Roscommon","1896","55080","53477"
"Roscommon","1897","54496","52893"
"Roscommon","1898","53912","52309"
"Roscommon","1899","53328","51725"
"Roscommon","1900","52744","51141"
"Roscommon","1901","51233","50558"
"Roscommon","1902","50720","50045"
"Roscommon","1903","50208","49533"
"Roscommon","1904","49695","49020"
"Roscommon","1905","49183","48508"
"Roscommon","1906","48670","47995"
"Roscommon","1907","48158","47483"
"Roscommon","1908","47646","46971"
"Roscommon","1909","47133","46458"
"Roscommon","1910","46621","45946"
"Roscommon","1911","48522","45434"
"Roscommon","1912","48178","45090"
"Roscommon","1913","47834","44746"
"Roscommon","1914","47490","44402"
"Roscommon","1915","47146","44058"
"Roscommon","1916","46802","43714"
"Roscommon","1917","46458","43370"
"Roscommon","1918","46114","43026"
"Roscommon","1919","45770","42682"
"Roscommon","1920","45426","42338"
"Roscommon","1921","45082","41994"
"Roscommon","1922","44738","41650"
"Roscommon","1923","44394","41306"
"Roscommon","1924","44050","40962"
"Roscommon","1925","43706","40618"
"Roscommon","1926","43281","40275"
"Roscommon","1927","42879","39873"
"Roscommon","1928","42477","39471"
"Roscommon","1929","42075","39069"
"Roscommon","1930","41674","38668"
"Roscommon","1931","41272","38266"
"Roscommon","1932","40870","37864"
"Roscommon","1933","40469","37463"
"Roscommon","1934","40067","37061"
"Roscommon","1935","39665","36659"
"Roscommon","1936","41308","36258"
"Roscommon","1937","41048","35998"
"Roscommon","1938","40789","35739"
"Roscommon","1939","40530","35480"
"Roscommon","1940","40270","35220"
"Roscommon","1941","40011","34961"
"Roscommon","1942","39752","34702"
"Roscommon","1943","39492","34442"
"Roscommon","1944","39233","34183"
"Roscommon","1945","38974","33924"
"Roscommon","1946","38845","33665"
"Roscommon","1947","38407","33227"
"Roscommon","1948","37969","32789"
"Roscommon","1949","37531","32351"
"Roscommon","1950","37093","31913"
"Roscommon","1951","36626","31476"
"Roscommon","1952","36257","31107"
"Roscommon","1953","35888","30738"
"Roscommon","1954","35519","30369"
"Roscommon","1955","35150","30000"
"Roscommon","1956","34078","29632"
"Roscommon","1957","33699","29253"
"Roscommon","1958","33321","28875"
"Roscommon","1959","32942","28496"
"Roscommon","1960","32564","28118"
"Roscommon","1961","31477","27740"
"Roscommon","1962","31218","27481"
"Roscommon","1963","30959","27222"
"Roscommon","1964","30700","26963"
"Roscommon","1965","30441","26704"
"Roscommon","1966","29782","26446"
"Roscommon","1967","29537","26201"
"Roscommon","1968","29293","25957"
"Roscommon","1969","29049","25713"
"Roscommon","1970","28805","25469"
"Roscommon","1971","28294","25225"
"Roscommon","1972","28355","25286"
"Roscommon","1973","28416","25347"
"Roscommon","1974","28477","25408"
"Roscommon","1975","28538","25469"
"Roscommon","1976","28599","25530"
"Roscommon","1977","28660","25591"
"Roscommon","1978","28721","25652"
"Roscommon","1979","28475","25714"
"Roscommon","1980","28563","25802"
"Roscommon","1981","28653","25890"
"Roscommon","1982","28723","25960"
"Roscommon","1983","28793","26030"
"Roscommon","1984","28863","26100"
"Roscommon","1985","28933","26170"
"Roscommon","1986","28351","26241"
"Roscommon","1987","28143","26033"
"Roscommon","1988","27935","25825"
"Roscommon","1989","27728","25618"
"Roscommon","1990","27520","25410"
"Roscommon","1991","26694","25203"
"Roscommon","1992","26709","25218"
"Roscommon","1993","26724","25233"
"Roscommon","1994","26740","25249"
"Roscommon","1995","26755","25264"
"Roscommon","1996","26695","25280"
"Roscommon","1997","26846","25431"
"Roscommon","1998","26998","25583"
"Roscommon","1999","27150","25735"
"Roscommon","2000","27302","25887"
"Roscommon","2001","27454","26039"
"Roscommon","2002","27583","26191"
"Roscommon","2003","28579","27187"
"Roscommon","2004","29576","28184"
"Roscommon","2005","30573","29181"
"Roscommon","2006","28590","30178"
"Roscommon","2007","29025","30613"
"Roscommon","2008","29460","31048"
"Roscommon","2009","29895","31483"
"Roscommon","2010","30330","31918"
"Roscommon","2011","31712","32353"
"Roscommon","2012","31716","32357"
"Roscommon","2013","31721","32362"
"Roscommon","2014","31726","32367"
"Roscommon","2015","31731","32372"
"Roscommon","2016","32167","32377"
"Sligo","1841","89563","91323"
"Sligo","1842","86994","88754"
"Sligo","1843","84425","86185"
"Sligo","1844","81856","83616"
"Sligo","1845","79287","81047"
"Sligo","1846","76718","78478"
"Sligo","1847","74149","75909"
"Sligo","1848","71580","73340"
"Sligo","1849","69011","70771"
"Sligo","1850","66442","68202"
"Sligo","1851","62881","65634"
"Sligo","1852","62608","65361"
"Sligo","1853","62335","65088"
"Sligo","1854","62062","64815"
"Sligo","1855","61789","64542"
"Sligo","1856","61516","64269"
"Sligo","1857","61244","63997"
"Sligo","1858","60971","63724"
"Sligo","1859","60698","63451"
"Sligo","1860","60425","63178"
"Sligo","1861","61939","62906"
"Sligo","1862","61499","62466"
"Sligo","1863","61059","62026"
"Sligo","1864","60619","61586"
"Sligo","1865","60180","61147"
"Sligo","1866","59740","60707"
"Sligo","1867","59300","60267"
"Sligo","1868","58861","59828"
"Sligo","1869","58421","59388"
"Sligo","1870","57981","58948"
"Sligo","1871","56984","58509"
"Sligo","1872","56776","58301"
"Sligo","1873","56569","58094"
"Sligo","1874","56361","57886"
"Sligo","1875","56154","57679"
"Sligo","1876","55946","57471"
"Sligo","1877","55739","57264"
"Sligo","1878","55531","57056"
"Sligo","1879","55324","56849"
"Sligo","1880","55116","56641"
"Sligo","1881","55144","56434"
"Sligo","1882","54434","55724"
"Sligo","1883","53725","55015"
"Sligo","1884","53016","54306"
"Sligo","1885","52307","53597"
"Sligo","1886","51598","52888"
"Sligo","1887","50889","52179"
"Sligo","1888","50180","51470"
"Sligo","1889","49471","50761"
"Sligo","1890","48762","50052"
"Sligo","1891","48670","49343"
"Sligo","1892","47959","48632"
"Sligo","1893","47248","47921"
"Sligo","1894","46537","47210"
"Sligo","1895","45826","46499"
"Sligo","1896","45115","45788"
"Sligo","1897","44404","45077"
"Sligo","1898","43693","44366"
"Sligo","1899","42982","43655"
"Sligo","1900","42271","42944"
"Sligo","1901","41849","42234"
"Sligo","1902","41524","41909"
"Sligo","1903","41199","41584"
"Sligo","1904","40874","41259"
"Sligo","1905","40549","40934"
"Sligo","1906","40224","40609"
"Sligo","1907","39899","40284"
"Sligo","1908","39574","39959"
"Sligo","1909","39249","39634"
"Sligo","1910","38924","39309"
"Sligo","1911","40060","38985"
"Sligo","1912","39775","38700"
"Sligo","1913","39491","38416"
"Sligo","1914","39207","38132"
"Sligo","1915","38923","37848"
"Sligo","1916","38639","37564"
"Sligo","1917","38354","37279"
"Sligo","1918","38070","36995"
"Sligo","1919","37786","36711"
"Sligo","1920","37502","36427"
"Sligo","1921","37218","36143"
"Sligo","1922","36933","35858"
"Sligo","1923","36649","35574"
"Sligo","1924","36365","35290"
"Sligo","1925","36081","35006"
"Sligo","1926","36666","34722"
"Sligo","1927","36401","34457"
"Sligo","1928","36136","34192"
"Sligo","1929","35872","33928"
"Sligo","1930","35607","33663"
"Sligo","1931","35343","33399"
"Sligo","1932","35078","33134"
"Sligo","1933","34813","32869"
"Sligo","1934","34549","32605"
"Sligo","1935","34284","32340"
"Sligo","1936","35371","32076"
"Sligo","1937","35163","31868"
"Sligo","1938","34955","31660"
"Sligo","1939","34747","31452"
"Sligo","1940","34540","31245"
"Sligo","1941","34332","31037"
"Sligo","1942","34124","30829"
"Sligo","1943","33917","30622"
"Sligo","1944","33709","30414"
"Sligo","1945","33501","30206"
"Sligo","1946","32376","29999"
"Sligo","1947","32185","29808"
"Sligo","1948","31994","29617"
"Sligo","1949","31803","29426"
"Sligo","1950","31612","29235"
"Sligo","1951","31469","29044"
"Sligo","1952","31151","28726"
"Sligo","1953","30834","28409"
"Sligo","1954","30517","28092"
"Sligo","1955","30200","27775"
"Sligo","1956","29392","27458"
"Sligo","1957","29085","27151"
"Sligo","1958","28778","26844"
"Sligo","1959","28471","26537"
"Sligo","1960","28164","26230"
"Sligo","1961","27638","25923"
"Sligo","1962","27436","25721"
"Sligo","1963","27235","25520"
"Sligo","1964","27034","25319"
"Sligo","1965","26833","25118"
"Sligo","1966","26346","24917"
"Sligo","1967","26240","24811"
"Sligo","1968","26134","24705"
"Sligo","1969","26028","24599"
"Sligo","1970","25922","24493"
"Sligo","1971","25887","24388"
"Sligo","1972","26189","24690"
"Sligo","1973","26491","24992"
"Sligo","1974","26793","25294"
"Sligo","1975","27095","25596"
"Sligo","1976","27397","25898"
"Sligo","1977","27699","26200"
"Sligo","1978","28001","26502"
"Sligo","1979","27806","26804"
"Sligo","1980","28049","27047"
"Sligo","1981","28183","27291"
"Sligo","1982","28297","27405"
"Sligo","1983","28411","27519"
"Sligo","1984","28525","27633"
"Sligo","1985","28639","27747"
"Sligo","1986","28184","27862"
"Sligo","1987","28113","27791"
"Sligo","1988","28042","27720"
"Sligo","1989","27971","27649"
"Sligo","1990","27900","27578"
"Sligo","1991","27248","27508"
"Sligo","1992","27361","27621"
"Sligo","1993","27474","27734"
"Sligo","1994","27587","27847"
"Sligo","1995","27700","27960"
"Sligo","1996","27748","28073"
"Sligo","1997","27974","28299"
"Sligo","1998","28200","28525"
"Sligo","1999","28426","28751"
"Sligo","2000","28652","28977"
"Sligo","2001","28878","29203"
"Sligo","2002","28771","29429"
"Sligo","2003","28978","29636"
"Sligo","2004","29185","29843"
"Sligo","2005","29392","30050"
"Sligo","2006","30637","30257"
"Sligo","2007","31072","30692"
"Sligo","2008","31508","31128"
"Sligo","2009","31943","31563"
"Sligo","2010","32379","31999"
"Sligo","2011","32958","32435"
"Sligo","2012","32944","32421"
"Sligo","2013","32930","32407"
"Sligo","2014","32916","32393"
"Sligo","2015","32902","32379"
"Sligo","2016","33170","32365"
"Tipperary","1841","216650","218903"
"Tipperary","1842","211914","214167"
"Tipperary","1843","207178","209431"
"Tipperary","1844","202442","204695"
"Tipperary","1845","197706","199959"
"Tipperary","1846","192970","195223"
"Tipperary","1847","188234","190487"
"Tipperary","1848","183498","185751"
"Tipperary","1849","178762","181015"
"Tipperary","1850","174026","176279"
"Tipperary","1851","160024","171543"
"Tipperary","1852","155532","167051"
"Tipperary","1853","151040","162559"
"Tipperary","1854","146548","158067"
"Tipperary","1855","142056","153575"
"Tipperary","1856","137564","149083"
"Tipperary","1857","133072","144591"
"Tipperary","1858","128580","140099"
"Tipperary","1859","124088","135607"
"Tipperary","1860","119596","131115"
"Tipperary","1861","122483","126623"
"Tipperary","1862","120842","124982"
"Tipperary","1863","119201","123341"
"Tipperary","1864","117560","121700"
"Tipperary","1865","115919","120059"
"Tipperary","1866","114278","118418"
"Tipperary","1867","112637","116777"
"Tipperary","1868","110996","115136"
"Tipperary","1869","109355","113495"
"Tipperary","1870","107714","111854"
"Tipperary","1871","106499","110214"
"Tipperary","1872","105563","109278"
"Tipperary","1873","104627","108342"
"Tipperary","1874","103691","107406"
"Tipperary","1875","102756","106471"
"Tipperary","1876","101820","105535"
"Tipperary","1877","100884","104599"
"Tipperary","1878","99949","103664"
"Tipperary","1879","99013","102728"
"Tipperary","1880","98077","101792"
"Tipperary","1881","98755","100857"
"Tipperary","1882","97307","99409"
"Tipperary","1883","95859","97961"
