"Year","Region","Method","Male Population","Female Population"
"2028","Midlands","M2F2 Dublin Outflow","174797","178019"
"2028","Midlands","M3F2 Dublin Inflow","156477","156603"
"2028","Midlands","M3F2 Dublin Outflow","171610","175136"
"2028","South-East","M1F2 Dublin Inflow","221106","222666"
"2028","South-East","M1F2 Dublin Outflow","232375","238240"
"2028","South-East","M2F2 Dublin Inflow","217844","219889"
"2028","South-East","M2F2 Dublin Outflow","229113","235465"
"2028","South-East","M3F2 Dublin Inflow","214116","216930"
"2028","South-East","M3F2 Dublin Outflow","225382","232520"
"2028","South-West","M1F2 Dublin Inflow","382080","384404"
"2028","South-West","M1F2 Dublin Outflow","382912","385708"
"2028","South-West","M2F2 Dublin Inflow","372983","375880"
"2028","South-West","M2F2 Dublin Outflow","373821","377176"
"2028","South-West","M3F2 Dublin Inflow","364188","367598"
"2028","South-West","M3F2 Dublin Outflow","365009","368875"
"2028","West","M1F2 Dublin Inflow","240471","242750"
"2028","West","M1F2 Dublin Outflow","244599","244380"
"2028","West","M2F2 Dublin Inflow","234998","237330"
"2028","West","M2F2 Dublin Outflow","239092","238977"
"2028","West","M3F2 Dublin Inflow","228943","231467"
"2028","West","M3F2 Dublin Outflow","233055","233119"
"2029","Border","M1F2 Dublin Inflow","208837","213065"
"2029","Border","M1F2 Dublin Outflow","221476","225919"
"2029","Border","M2F2 Dublin Inflow","202841","207373"
"2029","Border","M2F2 Dublin Outflow","215487","220239"
"2029","Border","M3F2 Dublin Inflow","196219","201421"
"2029","Border","M3F2 Dublin Outflow","208859","214264"
"2029","Dublin","M1F2 Dublin Inflow","826393","852473"
"2029","Dublin","M1F2 Dublin Outflow","756371","767789"
"2029","Dublin","M2F2 Dublin Inflow","795415","823322"
"2029","Dublin","M2F2 Dublin Outflow","725358","738572"
"2029","Dublin","M3F2 Dublin Inflow","766339","795764"
"2029","Dublin","M3F2 Dublin Outflow","696256","711018"
"2029","Mid-East","M1F2 Dublin Inflow","400362","413963"
"2029","Mid-East","M1F2 Dublin Outflow","424818","439958"
"2029","Mid-East","M2F2 Dublin Inflow","391986","405024"
"2029","Mid-East","M2F2 Dublin Outflow","416438","431019"
"2029","Mid-East","M3F2 Dublin Inflow","382827","395915"
"2029","Mid-East","M3F2 Dublin Outflow","407261","421903"
"2029","Mid-West","M1F2 Dublin Inflow","263706","261010"
"2029","Mid-West","M1F2 Dublin Outflow","261821","265750"
"2029","Mid-West","M2F2 Dublin Inflow","256683","254175"
"2029","Mid-West","M2F2 Dublin Outflow","254804","258954"
"2029","Mid-West","M3F2 Dublin Inflow","249111","247094"
"2029","Mid-West","M3F2 Dublin Outflow","247237","251875"
"2029","Midlands","M1F2 Dublin Inflow","163913","163525"
"2029","Midlands","M1F2 Dublin Outflow","180771","184117"
"2029","Midlands","M2F2 Dublin Inflow","160319","160107"
"2029","Midlands","M2F2 Dublin Outflow","177162","180703"
"2029","Midlands","M3F2 Dublin Inflow","156816","156959"
"2029","Midlands","M3F2 Dublin Outflow","173681","177564"
"2029","South-East","M1F2 Dublin Inflow","221527","222970"
"2029","South-East","M1F2 Dublin Outflow","234109","240270"
"2029","South-East","M2F2 Dublin Inflow","217974","219932"
"2029","South-East","M2F2 Dublin Outflow","230554","237242"
"2029","South-East","M3F2 Dublin Inflow","213877","216680"
"2029","South-East","M3F2 Dublin Outflow","226449","234003"
"2029","South-West","M1F2 Dublin Inflow","384972","387106"
"2029","South-West","M1F2 Dublin Outflow","385870","388510"
"2029","South-West","M2F2 Dublin Inflow","375011","377768"
"2029","South-West","M2F2 Dublin Outflow","375908","379160"
"2029","South-West","M3F2 Dublin Inflow","365405","368719"
"2029","South-West","M3F2 Dublin Outflow","366282","370097"
"2029","West","M1F2 Dublin Inflow","241476","243915"
"2029","West","M1F2 Dublin Outflow","246017","245720"
"2029","West","M2F2 Dublin Inflow","235501","237999"
"2029","West","M2F2 Dublin Outflow","240011","239819"
"2029","West","M3F2 Dublin Inflow","228833","231546"
"2029","West","M3F2 Dublin Outflow","233365","233371"
"2030","Border","M1F2 Dublin Inflow","209444","213972"
"2030","Border","M1F2 Dublin Outflow","223352","228101"
"2030","Border","M2F2 Dublin Inflow","202943","207783"
"2030","Border","M2F2 Dublin Outflow","216857","221934"
"2030","Border","M3F2 Dublin Inflow","195713","201287"
"2030","Border","M3F2 Dublin Outflow","209615","215416"
"2030","Dublin","M1F2 Dublin Inflow","839339","865449"
"2030","Dublin","M1F2 Dublin Outflow","762057","772221"
"2030","Dublin","M2F2 Dublin Inflow","805639","833742"
"2030","Dublin","M2F2 Dublin Outflow","728325","740433"
"2030","Dublin","M3F2 Dublin Inflow","774161","803886"
"2030","Dublin","M3F2 Dublin Outflow","696808","710588"
"2030","Mid-East","M1F2 Dublin Inflow","404427","418672"
"2030","Mid-East","M1F2 Dublin Outflow","431464","447360"
"2030","Mid-East","M2F2 Dublin Inflow","395330","408954"
"2030","Mid-East","M2F2 Dublin Outflow","422354","437647"
"2030","Mid-East","M3F2 Dublin Inflow","385322","399027"
"2030","Mid-East","M3F2 Dublin Outflow","412318","427720"
"2030","Mid-West","M1F2 Dublin Inflow","265618","262546"
"2030","Mid-West","M1F2 Dublin Outflow","263553","267709"
"2030","Mid-West","M2F2 Dublin Inflow","257994","255122"
"2030","Mid-West","M2F2 Dublin Outflow","255933","260323"
"2030","Mid-West","M3F2 Dublin Inflow","249728","247402"
"2030","Mid-West","M3F2 Dublin Outflow","247675","252609"
"2030","Midlands","M1F2 Dublin Inflow","164830","164423"
"2030","Midlands","M1F2 Dublin Outflow","183468","187124"
"2030","Midlands","M2F2 Dublin Inflow","160915","160692"
"2030","Midlands","M2F2 Dublin Outflow","179531","183400"
"2030","Midlands","M3F2 Dublin Inflow","157116","157283"
"2030","Midlands","M3F2 Dublin Outflow","175757","179998"
"2030","South-East","M1F2 Dublin Inflow","221898","223221"
"2030","South-East","M1F2 Dublin Outflow","235826","242295"
"2030","South-East","M2F2 Dublin Inflow","218055","219927"
"2030","South-East","M2F2 Dublin Outflow","231983","239002"
"2030","South-East","M3F2 Dublin Inflow","213580","216374"
"2030","South-East","M3F2 Dublin Outflow","227500","235463"
"2030","South-West","M1F2 Dublin Inflow","387823","389776"
"2030","South-West","M1F2 Dublin Outflow","388780","391274"
"2030","South-West","M2F2 Dublin Inflow","376985","379611"
"2030","South-West","M2F2 Dublin Outflow","377943","381092"
"2030","South-West","M3F2 Dublin Inflow","366558","369784"
"2030","South-West","M3F2 Dublin Outflow","367490","371255"
"2030","West","M1F2 Dublin Inflow","242446","245053"
"2030","West","M1F2 Dublin Outflow","247404","247036"
"2030","West","M2F2 Dublin Inflow","235968","238638"
"2030","West","M2F2 Dublin Outflow","240891","240632"
"2030","West","M3F2 Dublin Inflow","228676","231584"
"2030","West","M3F2 Dublin Outflow","233621","233579"
"2031","Border","M1F2 Dublin Inflow","210034","214863"
"2031","Border","M1F2 Dublin Outflow","225239","230284"
"2031","Border","M2F2 Dublin Inflow","203022","208173"
"2031","Border","M2F2 Dublin Outflow","218227","223624"
"2031","Border","M3F2 Dublin Inflow","195178","201130"
"2031","Border","M3F2 Dublin Outflow","210372","216559"
"2031","Dublin","M1F2 Dublin Inflow","852244","878397"
"2031","Dublin","M1F2 Dublin Outflow","767565","776492"
"2031","Dublin","M2F2 Dublin Inflow","815793","844094"
"2031","Dublin","M2F2 Dublin Outflow","731081","742107"
"2031","Dublin","M3F2 Dublin Inflow","781882","811914"
"2031","Dublin","M3F2 Dublin Outflow","697125","709929"
"2031","Mid-East","M1F2 Dublin Inflow","408496","423378"
"2031","Mid-East","M1F2 Dublin Outflow","438153","454808"
"2031","Mid-East","M2F2 Dublin Inflow","398661","412870"
"2031","Mid-East","M2F2 Dublin Outflow","428310","444308"
"2031","Mid-East","M3F2 Dublin Inflow","387790","402121"
"2031","Mid-East","M3F2 Dublin Outflow","417407","433555"
"2031","Mid-West","M1F2 Dublin Inflow","267517","264070"
"2031","Mid-West","M1F2 Dublin Outflow","265265","269653"
"2031","Mid-West","M2F2 Dublin Inflow","259282","256047"
"2031","Mid-West","M2F2 Dublin Outflow","257041","261671"
"2031","Mid-West","M3F2 Dublin Inflow","250316","247676"
"2031","Mid-West","M3F2 Dublin Outflow","248079","253311"
"2031","Midlands","M1F2 Dublin Inflow","165717","165294"
"2031","Midlands","M1F2 Dublin Outflow","186173","190144"
"2031","Midlands","M2F2 Dublin Inflow","161480","161251"
"2031","Midlands","M2F2 Dublin Outflow","181913","186104"
"2031","Midlands","M3F2 Dublin Inflow","157378","157574"
"2031","Midlands","M3F2 Dublin Outflow","177839","182438"
"2031","South-East","M1F2 Dublin Inflow","222213","223421"
"2031","South-East","M1F2 Dublin Outflow","237534","244303"
"2031","South-East","M2F2 Dublin Inflow","218081","219864"
"2031","South-East","M2F2 Dublin Outflow","233399","240748"
"2031","South-East","M3F2 Dublin Inflow","213226","216008"
"2031","South-East","M3F2 Dublin Outflow","228533","236908"
"2031","South-West","M1F2 Dublin Inflow","390633","392404"
"2031","South-West","M1F2 Dublin Outflow","391643","393992"
"2031","South-West","M2F2 Dublin Inflow","378904","381402"
"2031","South-West","M2F2 Dublin Outflow","379915","382974"
"2031","South-West","M3F2 Dublin Inflow","367647","370788"
"2031","South-West","M3F2 Dublin Outflow","368635","372350"
"2031","West","M1F2 Dublin Inflow","243393","246169"
"2031","West","M1F2 Dublin Outflow","248760","248318"
"2031","West","M2F2 Dublin Inflow","236402","239246"
"2031","West","M2F2 Dublin Outflow","241731","241410"
"2031","West","M3F2 Dublin Inflow","228475","231582"
"2031","West","M3F2 Dublin Outflow","233826","233745"
"2032","Border","M1F2 Dublin Inflow","210611","215738"
"2032","Border","M1F2 Dublin Outflow","227122","232472"
"2032","Border","M2F2 Dublin Inflow","203081","208544"
"2032","Border","M2F2 Dublin Outflow","219590","225303"
"2032","Border","M3F2 Dublin Inflow","194610","200943"
"2032","Border","M3F2 Dublin Outflow","211110","217687"
"2032","Dublin","M1F2 Dublin Inflow","865097","891305"
"2032","Dublin","M1F2 Dublin Outflow","772890","780598"
"2032","Dublin","M2F2 Dublin Inflow","825867","854376"
"2032","Dublin","M2F2 Dublin Outflow","733614","743586"
"2032","Dublin","M3F2 Dublin Inflow","789497","819852"
"2032","Dublin","M3F2 Dublin Outflow","697213","709056"
"2032","Mid-East","M1F2 Dublin Inflow","412557","428072"
"2032","Mid-East","M1F2 Dublin Outflow","444880","462288"
"2032","Mid-East","M2F2 Dublin Inflow","401979","416763"
"2032","Mid-East","M2F2 Dublin Outflow","434292","450985"
"2032","Mid-East","M3F2 Dublin Inflow","390235","405184"
"2032","Mid-East","M3F2 Dublin Outflow","422514","439404"
"2032","Mid-West","M1F2 Dublin Inflow","269393","265569"
"2032","Mid-West","M1F2 Dublin Outflow","266959","271574"
"2032","Mid-West","M2F2 Dublin Inflow","260539","256940"
"2032","Mid-West","M2F2 Dublin Outflow","258116","262985"
"2032","Mid-West","M3F2 Dublin Inflow","250870","247915"
"2032","Mid-West","M3F2 Dublin Outflow","248451","253973"
"2032","Midlands","M1F2 Dublin Inflow","166571","166134"
"2032","Midlands","M1F2 Dublin Outflow","188883","193167"
"2032","Midlands","M2F2 Dublin Inflow","162009","161770"
"2032","Midlands","M2F2 Dublin Outflow","184291","188813"
"2032","Midlands","M3F2 Dublin Inflow","157606","157833"
"2032","Midlands","M3F2 Dublin Outflow","179923","184881"
"2032","South-East","M1F2 Dublin Inflow","222478","223568"
"2032","South-East","M1F2 Dublin Outflow","239228","246289"
"2032","South-East","M2F2 Dublin Inflow","218051","219748"
"2032","South-East","M2F2 Dublin Outflow","234792","242474"
"2032","South-East","M3F2 Dublin Inflow","212812","215582"
"2032","South-East","M3F2 Dublin Outflow","229544","238326"
"2032","South-West","M1F2 Dublin Inflow","393385","394987"
"2032","South-West","M1F2 Dublin Outflow","394449","396663"
"2032","South-West","M2F2 Dublin Inflow","380760","383145"
"2032","South-West","M2F2 Dublin Outflow","381822","384797"
"2032","South-West","M3F2 Dublin Inflow","368666","371731"
"2032","South-West","M3F2 Dublin Outflow","369705","373377"
"2032","West","M1F2 Dublin Inflow","244316","247262"
"2032","West","M1F2 Dublin Outflow","250086","249575"
"2032","West","M2F2 Dublin Inflow","236805","239826"
"2032","West","M2F2 Dublin Outflow","242539","242152"
"2032","West","M3F2 Dublin Inflow","228238","231544"
"2032","West","M3F2 Dublin Outflow","233996","233871"
"2033","Border","M1F2 Dublin Inflow","211193","216609"
"2033","Border","M1F2 Dublin Outflow","229028","234673"
"2033","Border","M2F2 Dublin Inflow","203147","208909"
"2033","Border","M2F2 Dublin Outflow","220976","227001"
"2033","Border","M3F2 Dublin Inflow","194041","200748"
"2033","Border","M3F2 Dublin Outflow","211866","218823"
"2033","Dublin","M1F2 Dublin Inflow","878004","904265"
"2033","Dublin","M1F2 Dublin Outflow","778131","784624"
"2033","Dublin","M2F2 Dublin Inflow","835967","864687"
"2033","Dublin","M2F2 Dublin Outflow","736050","744954"
"2033","Dublin","M3F2 Dublin Inflow","797116","827794"
"2033","Dublin","M3F2 Dublin Outflow","697152","708057"
"2033","Mid-East","M1F2 Dublin Inflow","416647","432792"
"2033","Mid-East","M1F2 Dublin Outflow","451679","469835"
"2033","Mid-East","M2F2 Dublin Inflow","405320","420673"
"2033","Mid-East","M2F2 Dublin Outflow","440343","457721"
"2033","Mid-East","M3F2 Dublin Inflow","392698","408261"
"2033","Mid-East","M3F2 Dublin Outflow","427679","445300"
"2033","Mid-West","M1F2 Dublin Inflow","271277","267067"
"2033","Mid-West","M1F2 Dublin Outflow","268658","273507"
"2033","Mid-West","M2F2 Dublin Inflow","261793","257831"
"2033","Mid-West","M2F2 Dublin Outflow","259197","264301"
"2033","Mid-West","M3F2 Dublin Inflow","251409","248141"
"2033","Mid-West","M3F2 Dublin Outflow","248815","254625"
"2033","Midlands","M1F2 Dublin Inflow","167409","166962"
"2033","Midlands","M1F2 Dublin Outflow","191621","196215"
"2033","Midlands","M2F2 Dublin Inflow","162517","162275"
"2033","Midlands","M2F2 Dublin Outflow","186695","191546"
"2033","Midlands","M3F2 Dublin Inflow","157807","158068"
"2033","Midlands","M3F2 Dublin Outflow","182028","187345"
"2033","South-East","M1F2 Dublin Inflow","222704","223669"
"2033","South-East","M1F2 Dublin Outflow","240926","248278"
"2033","South-East","M2F2 Dublin Inflow","217987","219584"
"2033","South-East","M2F2 Dublin Outflow","236187","244190"
"2033","South-East","M3F2 Dublin Inflow","212355","215109"
"2033","South-East","M3F2 Dublin Outflow","230549","239738"
"2033","South-West","M1F2 Dublin Inflow","396132","397564"
"2033","South-West","M1F2 Dublin Outflow","397246","399326"
"2033","South-West","M2F2 Dublin Inflow","382602","384867"
"2033","South-West","M2F2 Dublin Outflow","383716","386603"
"2033","South-West","M3F2 Dublin Inflow","369660","372651"
"2033","South-West","M3F2 Dublin Outflow","370749","374380"
"2033","West","M1F2 Dublin Inflow","245234","248344"
"2033","West","M1F2 Dublin Outflow","251402","250824"
"2033","West","M2F2 Dublin Inflow","237196","240389"
"2033","West","M2F2 Dublin Outflow","243324","242874"
"2033","West","M3F2 Dublin Inflow","227984","231480"
"2033","West","M3F2 Dublin Outflow","234138","233967"
"2034","Border","M1F2 Dublin Inflow","211772","217476"
"2034","Border","M1F2 Dublin Outflow","230951","236889"
"2034","Border","M2F2 Dublin Inflow","203201","209260"
"2034","Border","M2F2 Dublin Outflow","222372","228702"
"2034","Border","M3F2 Dublin Inflow","193459","200538"
"2034","Border","M3F2 Dublin Outflow","212632","219961"
"2034","Dublin","M1F2 Dublin Inflow","890990","917307"
"2034","Dublin","M1F2 Dublin Outflow","783313","788599"
"2034","Dublin","M2F2 Dublin Inflow","846121","875056"
"2034","Dublin","M2F2 Dublin Outflow","738400","746250"
"2034","Dublin","M3F2 Dublin Inflow","804768","835772"
"2034","Dublin","M3F2 Dublin Outflow","696995","706961"
"2034","Mid-East","M1F2 Dublin Inflow","420775","437536"
"2034","Mid-East","M1F2 Dublin Outflow","458557","477440"
"2034","Mid-East","M2F2 Dublin Inflow","408691","424602"
"2034","Mid-East","M2F2 Dublin Outflow","446461","464509"
"2034","Mid-East","M3F2 Dublin Inflow","395183","411347"
"2034","Mid-East","M3F2 Dublin Outflow","432907","451249"
"2034","Mid-West","M1F2 Dublin Inflow","273158","268563"
"2034","Mid-West","M1F2 Dublin Outflow","270366","275432"
"2034","Mid-West","M2F2 Dublin Inflow","263045","258709"
"2034","Mid-West","M2F2 Dublin Outflow","260274","265610"
"2034","Mid-West","M3F2 Dublin Inflow","251937","248352"
"2034","Mid-West","M3F2 Dublin Outflow","249171","255269"
"2034","Midlands","M1F2 Dublin Inflow","168237","167775"
"2034","Midlands","M1F2 Dublin Outflow","194383","199287"
"2034","Midlands","M2F2 Dublin Inflow","163006","162763"
"2034","Midlands","M2F2 Dublin Outflow","189123","194298"
"2034","Midlands","M3F2 Dublin Inflow","157994","158285"
"2034","Midlands","M3F2 Dublin Outflow","184149","189831"
"2034","South-East","M1F2 Dublin Inflow","222892","223728"
"2034","South-East","M1F2 Dublin Outflow","242619","250259"
"2034","South-East","M2F2 Dublin Inflow","217877","219374"
"2034","South-East","M2F2 Dublin Outflow","237582","245905"
"2034","South-East","M3F2 Dublin Inflow","211847","214588"
"2034","South-East","M3F2 Dublin Outflow","231557","241142"
"2034","South-West","M1F2 Dublin Inflow","398872","400129"
"2034","South-West","M1F2 Dublin Outflow","400037","401976"
"2034","South-West","M2F2 Dublin Inflow","384420","386569"
"2034","South-West","M2F2 Dublin Outflow","385588","388388"
"2034","South-West","M3F2 Dublin Inflow","370622","373539"
"2034","South-West","M3F2 Dublin Outflow","371762","375353"
"2034","West","M1F2 Dublin Inflow","246149","249420"
"2034","West","M1F2 Dublin Outflow","252707","252055"
"2034","West","M2F2 Dublin Inflow","237577","240941"
"2034","West","M2F2 Dublin Outflow","244098","243580"
"2034","West","M3F2 Dublin Inflow","227710","231397"
"2034","West","M3F2 Dublin Outflow","234253","234043"
"2035","Border","M1F2 Dublin Inflow","212341","218336"
"2035","Border","M1F2 Dublin Outflow","232885","239110"
"2035","Border","M2F2 Dublin Inflow","203239","209597"
"2035","Border","M2F2 Dublin Outflow","223779","230409"
"2035","Border","M3F2 Dublin Inflow","192862","200305"
"2035","Border","M3F2 Dublin Outflow","213401","221099"
"2035","Dublin","M1F2 Dublin Inflow","904031","930403"
"2035","Dublin","M1F2 Dublin Outflow","788427","792510"
"2035","Dublin","M2F2 Dublin Inflow","856313","885451"
"2035","Dublin","M2F2 Dublin Outflow","740661","747464"
"2035","Dublin","M3F2 Dublin Inflow","812438","843764"
"2035","Dublin","M3F2 Dublin Outflow","696728","705759"
"2035","Mid-East","M1F2 Dublin Inflow","424936","442300"
"2035","Mid-East","M1F2 Dublin Outflow","465502","485094"
"2035","Mid-East","M2F2 Dublin Inflow","412083","428551"
"2035","Mid-East","M2F2 Dublin Outflow","452639","471348"
"2035","Mid-East","M3F2 Dublin Inflow","397681","414438"
"2035","Mid-East","M3F2 Dublin Outflow","438184","457237"
"2035","Mid-West","M1F2 Dublin Inflow","275033","270044"
"2035","Mid-West","M1F2 Dublin Outflow","272061","277347"
"2035","Mid-West","M2F2 Dublin Inflow","264279","259573"
"2035","Mid-West","M2F2 Dublin Outflow","261339","266903"
"2035","Mid-West","M3F2 Dublin Inflow","252444","248539"
"2035","Mid-West","M3F2 Dublin Outflow","249507","255890"
"2035","Midlands","M1F2 Dublin Inflow","169045","168574"
"2035","Midlands","M1F2 Dublin Outflow","197159","202378"
"2035","Midlands","M2F2 Dublin Inflow","163474","163234"
"2035","Midlands","M2F2 Dublin Outflow","191567","197069"
"2035","Midlands","M3F2 Dublin Inflow","158160","158482"
"2035","Midlands","M3F2 Dublin Outflow","186285","192328"
"2035","South-East","M1F2 Dublin Inflow","223048","223745"
"2035","South-East","M1F2 Dublin Outflow","244312","252240"
"2035","South-East","M2F2 Dublin Inflow","217729","219122"
"2035","South-East","M2F2 Dublin Outflow","238979","247614"
"2035","South-East","M3F2 Dublin Inflow","211303","214024"
"2035","South-East","M3F2 Dublin Outflow","232557","242537"
"2035","South-West","M1F2 Dublin Inflow","401599","402687"
"2035","South-West","M1F2 Dublin Outflow","402809","404619"
"2035","South-West","M2F2 Dublin Inflow","386223","388252"
"2035","South-West","M2F2 Dublin Outflow","387444","390159"
"2035","South-West","M3F2 Dublin Inflow","371563","374403"
"2035","South-West","M3F2 Dublin Outflow","372752","376306"
"2035","West","M1F2 Dublin Inflow","247055","250485"
"2035","West","M1F2 Dublin Outflow","254005","253269"
"2035","West","M2F2 Dublin Inflow","237949","241475"
"2035","West","M2F2 Dublin Outflow","244860","244268"
"2035","West","M3F2 Dublin Inflow","227421","231298"
"2035","West","M3F2 Dublin Outflow","234352","234094"
"2036","Border","M1F2 Dublin Inflow","212902","219175"
"2036","Border","M1F2 Dublin Outflow","234826","241336"
"2036","Border","M2F2 Dublin Inflow","203269","209916"
"2036","Border","M2F2 Dublin Outflow","225189","232120"
"2036","Border","M3F2 Dublin Inflow","192249","200049"
"2036","Border","M3F2 Dublin Outflow","214171","222234"
"2036","Dublin","M1F2 Dublin Inflow","917130","943554"
"2036","Dublin","M1F2 Dublin Outflow","793487","796375"
"2036","Dublin","M2F2 Dublin Inflow","866543","895894"
"2036","Dublin","M2F2 Dublin Outflow","742846","748609"
"2036","Dublin","M3F2 Dublin Inflow","820135","851784"
"2036","Dublin","M3F2 Dublin Outflow","696378","704475"
"2036","Mid-East","M1F2 Dublin Inflow","429124","447078"
"2036","Mid-East","M1F2 Dublin Outflow","472489","492786"
"2036","Mid-East","M2F2 Dublin Inflow","415501","432504"
"2036","Mid-East","M2F2 Dublin Outflow","458857","478220"
"2036","Mid-East","M3F2 Dublin Inflow","400189","417529"
"2036","Mid-East","M3F2 Dublin Outflow","443509","463254"
"2036","Mid-West","M1F2 Dublin Inflow","276884","271508"
"2036","Mid-West","M1F2 Dublin Outflow","273746","279245"
"2036","Mid-West","M2F2 Dublin Inflow","265500","260412"
"2036","Mid-West","M2F2 Dublin Outflow","262385","268179"
"2036","Mid-West","M3F2 Dublin Inflow","252931","248698"
"2036","Mid-West","M3F2 Dublin Outflow","249829","256488"
"2036","Midlands","M1F2 Dublin Inflow","169837","169353"
"2036","Midlands","M1F2 Dublin Outflow","199951","205487"
"2036","Midlands","M2F2 Dublin Inflow","163924","163682"
"2036","Midlands","M2F2 Dublin Outflow","194025","199850"
"2036","Midlands","M3F2 Dublin Inflow","158299","158652"
"2036","Midlands","M3F2 Dublin Outflow","188431","194833"
"2036","South-East","M1F2 Dublin Inflow","223167","223725"
"2036","South-East","M1F2 Dublin Outflow","246001","254210"
"2036","South-East","M2F2 Dublin Inflow","217543","218829"
"2036","South-East","M2F2 Dublin Outflow","240373","249309"
"2036","South-East","M3F2 Dublin Inflow","210716","213416"
"2036","South-East","M3F2 Dublin Outflow","233550","243922"
"2036","South-West","M1F2 Dublin Inflow","404305","405221"
"2036","South-West","M1F2 Dublin Outflow","405573","407236"
"2036","South-West","M2F2 Dublin Inflow","388004","389906"
"2036","South-West","M2F2 Dublin Outflow","389275","391900"
"2036","South-West","M3F2 Dublin Inflow","372471","375238"
"2036","South-West","M3F2 Dublin Outflow","373715","377226"
"2036","West","M1F2 Dublin Inflow","247955","251538"
"2036","West","M1F2 Dublin Outflow","255285","254464"
"2036","West","M2F2 Dublin Inflow","238307","241993"
"2036","West","M2F2 Dublin Outflow","245604","244929"
"2036","West","M3F2 Dublin Inflow","227113","231172"
"2036","West","M3F2 Dublin Outflow","234427","234114"
